Player,Team,DYAR,YAR,DVOA,VOA,Passes,Yards,EYds,TD,Catch Rate,FUM
David Johnson*+\JohnDa08,ARI,274,250,27.70%,24.10%,121,881,"1,038",4,67%,0
Le'Veon Bell*\BellLe00,PIT,165,148,16.20%,13.00%,94,616,735,2,80%,1
James White\WhitJa02,NE,163,131,20.10%,13.40%,86,551,679,5,70%,0
Devonta Freeman*\FreeDe00,ATL,141,129,24.90%,21.50%,65,462,553,2,83%,0
Tevin Coleman\ColeTe01,ATL,136,143,48.80%,52.00%,40,421,434,3,78%,0
Duke Johnson\JohnDu00,CLE,134,124,19.20%,16.80%,74,514,567,0,72%,1
LeSean McCoy*\McCoLe01,BUF,117,97,21.20%,15.30%,58,356,482,1,88%,0
Spencer Ware\WareSp00,KC,115,150,32.70%,46.90%,42,447,415,2,79%,1
Melvin Gordon*\GordMe00,SD,105,133,21.00%,30.10%,57,419,434,2,72%,0
Giovani Bernard\BernGi00,CIN,101,85,22.40%,16.70%,51,337,409,1,76%,1
Ezekiel Elliott*+\ElliEz00,DAL,82,81,26.90%,26.30%,40,363,309,1,80%,0
Mark Ingram\IngrMa01,NO,81,83,10.60%,11.20%,58,319,402,4,79%,0
Chris Thompson\ThomCh03,WAS,77,65,10.60%,6.70%,62,349,386,2,79%,1
Tim Hightower\HighTi00,NO,73,65,32.10%,27.00%,26,200,264,1,85%,0
Theo Riddick\RiddTh00,DET,67,80,3.90%,7.40%,67,371,409,5,79%,0
Darren Sproles*\SproDa00,PHI,65,61,3.00%,2.10%,71,427,412,2,73%,0
Shaun Draughn\DrauSh00,SF,60,36,14.20%,3.00%,39,263,276,2,74%,1
Matt Asiata\AsiaMa00,MIN,54,42,11.50%,5.80%,38,263,265,0,84%,0
Terrance West\WestTe00,BAL,50,28,4.90%,-3.20%,45,236,293,1,76%,0
Bilal Powell\PoweBi00,NYJ,49,26,-1.90%,-7.50%,75,388,398,2,79%,1
Damien Williams\WillDa05,MIA,45,56,12.50%,19.00%,31,256,214,3,74%,1
Travaris Cadet\CadeTr00,NO,44,65,-1.20%,5.10%,54,281,338,4,74%,0
Frank Gore\GoreFr00,IND,40,66,0.70%,10.10%,48,274,281,4,81%,0
DeMarco Murray*\MurrDe00,TEN,40,46,-3.20%,-1.60%,67,377,347,3,79%,0
Carlos Hyde\HydeCa00,SF,38,7,6.20%,-10.20%,34,162,215,3,82%,1
Fozzy Whittaker\WhitFo00,CAR,37,45,6.20%,10.70%,33,226,209,0,76%,0
Ty Montgomery\MontTy01,GB,33,34,-4.20%,-4.00%,56,348,312,0,79%,1
Isaiah Crowell\CrowIs00,CLE,33,35,-2.40%,-1.50%,53,319,274,0,75%,0
Charles Sims\SimsCh00,TB,32,34,3.50%,4.20%,32,190,200,1,75%,0
Jeremy Hill\HillJe01,CIN,27,31,3.10%,6.00%,27,174,168,0,78%,0
Charcandrick West\WestCh01,KC,21,26,-3.00%,-0.40%,34,188,176,2,82%,0
Matt Forte\FortMa00,NYJ,21,14,-5.60%,-8.50%,43,263,227,1,70%,0
Jordan Howard*\HowaJo00,CHI,17,35,-7.50%,-0.90%,50,298,227,1,58%,1
Josh Ferguson\FergJo02,IND,14,4,-3.70%,-10.70%,25,136,126,0,80%,0
Todd Gurley\GurlTo01,LARM,13,4,-9.90%,-12.70%,58,327,262,0,74%,0
Jerick McKinnon\McKiJe00,MIN,10,16,-10.70%,-8.90%,53,255,251,2,81%,0
Latavius Murray\MurrLa00,OAK,10,26,-9.40%,-2.60%,43,264,184,0,77%,0
Bobby Rainey\RainBo00,NYG,10,13,-7.00%,-4.20%,25,153,119,0,80%,0
Jalen Richard\RichJa01,OAK,9,12,-8.80%,-7.40%,39,194,149,2,74%,0
Jeremy Langford\LangJe00,CHI,9,6,-7.10%,-9.40%,27,142,110,0,70%,0
Kyle Juszczyk*\JuszKy00,BAL,6,-13,-11.90%,-18.30%,49,266,218,0,76%,0
Chris Ivory\IvorCh00,JAC,3,31,-12.00%,5.80%,28,186,119,0,71%,0
Robert Turbin\TurbRo00,IND,-1,1,-14.20%,-13.20%,35,179,136,1,74%,0
Lamar Miller\MillLa01,HOU,-1,16,-14.40%,-7.20%,39,199,167,1,79%,0
DeAngelo Williams\WillDe02,PIT,-3,-9,-15.70%,-19.40%,27,118,106,2,67%,0
Jay Ajayi*\AjayJa00,MIA,-14,-15,-20.70%,-21.20%,35,151,115,0,77%,0
Kenneth Dixon\DixoKe00,BAL,-14,-25,-20.60%,-25.90%,41,162,121,1,73%,0
James Starks\StarJa00,GB,-20,-27,-28.10%,-32.90%,26,128,60,2,77%,1
Rashad Jennings\JennRa00,NYG,-28,-30,-25.60%,-26.40%,43,207,113,1,84%,1
Devontae Booker\BookDe00,DEN,-41,-34,-31.40%,-28.40%,45,270,83,1,69%,2
Justin Forsett\ForsJu00,3TM,-42,-44,-40.10%,-40.90%,28,85,34,0,75%,0
Christine Michael\MichCh00,2TM,-44,-45,-42.20%,-43.30%,29,109,20,1,76%,1
T.J. Yeldon\YeldT.00,JAC,-52,-15,-27.90%,-17.80%,68,312,157,1,74%,0
Zach Zenner\ZennZa00,DET,80,65,51.40%,39.30%,23,196,253,0,78%,0
Jamize Olawale\OlawJa00,OAK,71,84,84.80%,103.00%,14,227,198,1,86%,0
C.J. Prosise\ProsC.00,SEA,62,75,55.20%,69.50%,19,208,193,0,89%,0
Derrick Henry\HenrDe00,TEN,45,45,46.90%,46.10%,15,137,144,0,87%,0
Reggie Bush\BushRe00,BUF,40,39,50.90%,49.20%,10,90,128,0,70%,0
Alex Collins\CollAl00,SEA,37,39,35.70%,39.60%,11,84,128,0,100%,0
Ryan Mathews\MathRy00,PHI,33,38,19.60%,25.00%,14,115,138,1,93%,0
Doug Martin\MartDo00,TB,30,28,24.70%,23.00%,16,134,117,0,88%,0
Thomas Rawls\RawlTh00,SEA,22,11,10.90%,-1.60%,17,96,109,0,76%,0
Rex Burkhead\BurkRe00,CIN,22,32,7.30%,17.00%,20,145,120,0,85%,1
Jacquizz Rodgers\RodgJa00,TB,19,20,9.30%,10.50%,16,98,98,0,81%,0
Patrick DiMarco\DiMaPa00,ATL,18,14,19.50%,12.70%,10,52,77,1,70%,0
Mike Tolbert*\TolbMi00,CAR,11,7,0.20%,-4.80%,15,72,78,1,67%,0
