Rk,Player,Year,Age,Draft,Tm,Lg,G,GS,Yrs,PB,AP1,AV
1,Tom Brady\BradTo00,2017,40,6-199,NWE,NFL,16,16,1,1,1,19
2,Todd Gurley\GurlTo01,2017,23,10-Jan,LAR,NFL,15,15,1,1,1,19
3,Cameron Jordan\JordCa00,2017,28,24-Jan,NOR,NFL,16,16,1,1,1,17
4,Alex Smith\SmitAl03,2017,33,1-Jan,KAN,NFL,15,15,1,1,0,17
5,Drew Brees\BreeDr00,2017,38,Feb-32,NOR,NFL,16,16,1,1,0,16
6,Calais Campbell\CampCa99,2017,31,Feb-50,JAX,NFL,16,16,1,1,1,16
7,Bobby Wagner\WagnBo00,2017,27,Feb-47,SEA,NFL,16,16,1,1,1,16
8,Russell Wilson\WilsRu00,2017,29,Mar-75,SEA,NFL,16,16,1,1,0,16
9,Le'Veon Bell\BellLe00,2017,25,Feb-48,PIT,NFL,15,15,1,1,1,15
10,Antonio Brown\BrowAn04,2017,29,6-195,PIT,NFL,14,14,1,1,1,15
11,Aaron Donald\DonaAa00,2017,26,13-Jan,LAR,NFL,14,14,1,1,1,15
12,Jared Goff\GoffJa00,2017,23,1-Jan,LAR,NFL,15,15,1,1,0,15
13,Everson Griffen\GrifEv99,2017,30,4-100,MIN,NFL,15,15,1,1,0,15
14,Cameron Heyward\HeywCa01,2017,28,31-Jan,PIT,NFL,15,15,1,1,1,15
15,Kareem Hunt\HuntKa00,2017,22,Mar-86,KAN,NFL,16,16,1,1,0,15
16,Chandler Jones\JoneCh03,2017,27,21-Jan,ARI,NFL,16,16,1,1,1,15
17,Alvin Kamara\KamaAl00,2017,22,Mar-67,NOR,NFL,16,3,1,1,0,15
18,Jason Kelce\KelcJa00,2017,30,6-191,PHI,NFL,16,16,1,0,1,15
19,Luke Kuechly\KuecLu00,2017,26,9-Jan,CAR,NFL,15,15,1,1,1,15
20,C.J. Mosley\MoslC.00,2017,25,17-Jan,BAL,NFL,16,16,1,1,0,15
21,Cam Newton\NewtCa00,2017,28,1-Jan,CAR,NFL,16,16,1,0,0,15
22,Matt Ryan\RyanMa00,2017,32,3-Jan,ATL,NFL,16,16,1,0,0,15
23,Telvin Smith\SmitTe01,2017,26,5-144,JAX,NFL,14,14,1,1,0,15
24,Fletcher Cox\CoxxFl00,2017,27,12-Jan,PHI,NFL,14,14,1,1,0,14
25,Casey Hayward\HaywCa00,2017,28,Feb-62,LAC,NFL,16,16,1,1,0,14
26,Mark Ingram\IngrMa01,2017,28,28-Jan,NOR,NFL,16,13,1,1,0,14
27,Lane Johnson\JohnLa01,2017,27,4-Jan,PHI,NFL,15,15,1,1,1,14
28,Julio Jones\JoneJu02,2017,28,6-Jan,ATL,NFL,16,16,1,1,0,14
29,Case Keenum\KeenCa00,2017,29,,MIN,NFL,15,14,1,0,0,14
30,Demarcus Lawrence\LawrDe00,2017,25,Feb-34,DAL,NFL,16,16,1,1,0,14
31,Alex Mack\MackAl20,2017,32,21-Jan,ATL,NFL,16,16,1,1,0,14
32,Andrew Norwell\NorwAn01,2017,26,,CAR,NFL,16,16,1,0,1,14
33,Dak Prescott\PresDa01,2017,24,4-135,DAL,NFL,16,16,1,0,0,14
34,Jalen Ramsey\RamsJa00,2017,23,5-Jan,JAX,NFL,16,16,1,1,1,14
35,Ben Roethlisberger\RoetBe00,2017,35,11-Jan,PIT,NFL,15,15,1,1,0,14
36,Mitchell Schwartz\SchwMi00,2017,28,Feb-37,KAN,NFL,16,16,1,0,0,14
37,Matthew Stafford\StafMa00,2017,29,1-Jan,DET,NFL,16,16,1,0,0,14
38,Carson Wentz\WentCa00,2017,25,2-Jan,PHI,NFL,13,13,1,1,0,14
39,Andrew Whitworth\WhitAn20,2017,36,Feb-55,LAR,NFL,15,15,1,1,1,14
