Player,Position,Team,DYAR,YAR,DVOA,VOA,Passes,Yards,EYds,TD,Catch Rate,FUM
Chris Herndon\HernCh00,TE,NYJ,50,57,6.30%,8.10%,56,502,422,4,70%,1
Evan Engram\EngrEv00,TE,NYG,50,32,4.80%,0.50%,64,577,454,3,70%,0
Rhett Ellison\ElliRh00,TE,NYG,48,23,14.40%,3.30%,34,272,289,1,74%,0
Dallas Goedert\GoedDa00,TE,PHI,38,37,5.10%,4.80%,44,334,340,4,75%,0
Jordan Thomas\ThomJo05,TE,HOU,38,44,12.50%,15.90%,27,215,243,4,74%,0
Ian Thomas\ThomIa00,TE,CAR,27,10,0.90%,-4.20%,49,333,335,2,73%,0
Jordan Akins\AkinJo00,TE,HOU,24,26,8.30%,9.20%,25,225,185,0,68%,0
Trey Burton\BurtTr01,TE,CHI,24,36,-2.70%,-0.30%,76,569,489,6,71%,1
Lance Kendricks\KendLa00,TE,GB,12,10,-0.10%,-1.70%,25,170,173,1,76%,0
Jonnu Smith\SmitJo01,TE,TEN,11,14,-1.80%,-0.20%,30,258,185,3,67%,1
Jimmy Graham\GrahJi00,TE,GB,4,-18,-6.60%,-10.40%,89,636,490,2,62%,0
Gerald Everett\EverGe00,TE,LAR,2,-19,-6.60%,-13.20%,50,319,280,3,66%,0
Nick Vannett\VannNi00,TE,SEA,2,-6,-6.50%,-9.10%,43,269,258,3,67%,1
Cameron Brate\BratCa00,TE,TB,2,-7,-6.80%,-9.30%,49,289,277,6,61%,1
Antonio Gates\GateAn00,TE,LAC,0,10,-7.40%,-3.60%,45,333,241,2,62%,1
Jack Doyle\DoylJa00,TE,IND,0,15,-7.40%,-0.60%,33,245,188,2,79%,1
Matt LaCosse\LaCoMa00,TE,DEN,-1,-13,-7.60%,-12.70%,37,250,196,1,65%,0
Virgil Green\GreeVi00,TE,LAC,-2,8,-8.20%,-2.90%,27,210,153,1,70%,0
Geoff Swaim\SwaiGe00,TE,DAL,-9,-15,-11.60%,-14.20%,32,242,161,1,81%,0
Demetrius Harris\HarrDe03,TE,KC,-14,-4,-15.60%,-9.70%,25,164,110,3,48%,0
Jordan Leggett\LeggJo00,TE,NYJ,-16,-25,-17.40%,-23.00%,25,114,99,1,56%,0
C.J. Uzomah\UzomC.00,TE,CIN,-18,-9,-11.30%,-9.30%,65,439,329,3,66%,0
Ryan Griffin\GrifRy00,TE,HOU,-18,-30,-13.50%,-17.60%,43,305,206,0,56%,0
Jason Croom\CrooJa00,TE,BUF,-27,-41,-19.50%,-25.70%,35,259,126,1,63%,2
James O'Shaughnessy\O'ShJa00,TE,JAX,-49,-37,-28.90%,-23.80%,38,214,84,0,63%,0
Nick Boyle\BoylNi00,TE,BAL,-50,-62,-26.60%,-30.90%,37,213,110,0,62%,0
David Njoku\NjokDa00,TE,CLE,-63,-45,-18.10%,-15.00%,88,639,352,4,64%,0
Mike Gesicki\GesiMi00,TE,MIA,-70,-56,-37.30%,-31.20%,32,202,44,0,69%,1
Jeff Heuerman\HeueJe00,TE,DEN,-70,-44,-29.70%,-21.30%,48,281,110,2,65%,0
Charles Clay\ClayCh00,TE,BUF,-70,-65,-38.30%,-36.10%,36,197,37,0,58%,1
Jordan Reed\ReedJo02,TE,WAS,-80,-59,-22.20%,-18.20%,84,554,277,2,64%,1
Ricky Seals-Jones\SealRi00,TE,ARI,-158,-143,-43.70%,-40.30%,69,343,21,1,49%,0
Anthony Firkser\FirkAn00,TE,TEN,85,85,59.30%,59.70%,20,225,292,1,95%,0
Levine Toilolo\ToilLe00,TE,DET,75,72,37.30%,35.60%,24,263,304,1,88%,0
Ed Dickson\DickEd00,TE,SEA,56,67,61.40%,73.80%,13,143,192,3,92%,0
Darren Fells\FellDa01,TE,CLE,52,55,53.90%,57.70%,12,117,185,3,92%,0
Erik Swoope\SwooEr00,TE,IND,41,39,47.40%,45.70%,10,87,152,3,80%,0
Will Dissly\DissWi00,TE,SEA,36,29,30.60%,22.80%,14,156,160,2,57%,0
Tyler Eifert\EifeTy00,TE,CIN,36,50,21.10%,32.30%,19,179,185,1,79%,0
Lee Smith\SmitLe00,TE,OAK,31,34,25.50%,28.40%,11,73,148,3,91%,0
MyCole Pruitt\PruiMy00,TE,TEN,28,23,32.10%,25.30%,11,102,121,1,82%,0
Nick O'Leary\OLeaNi00,TE,MIA,27,30,29.30%,34.10%,10,86,120,1,80%,0
Luke Stocker\StocLu00,TE,TEN,26,31,11.40%,14.70%,21,165,174,2,71%,0
Maxx Williams\WillMa04,TE,BAL,18,20,8.20%,9.60%,17,143,140,1,94%,0
Mo Alie-Cox\AlieMo00,TE,IND,16,18,9.50%,11.70%,13,133,115,2,54%,0
Josh Hill\HillJo02,TE,NO,12,9,0.10%,-1.90%,24,185,162,1,67%,0
Dalton Schultz\SchuDa00,TE,DAL,4,-7,-4.00%,-13.10%,17,116,104,0,71%,0
Blake Bell\BellBl00,TE,JAX,1,-1,-5.00%,-9.50%,11,67,57,0,73%,0
Michael Roberts\RobeMi01,TE,DET,1,-21,-6.70%,-23.90%,20,100,106,3,45%,0
Jermaine Gresham\GresJe00,TE,ARI,-3,-3,-11.40%,-11.30%,12,94,63,0,75%,1
Derek Carrier\CarrDe00,TE,OAK,-4,-11,-12.40%,-21.40%,12,67,58,1,58%,0
Scott Simonson\SimoSc00,TE,NYG,-5,-14,-11.60%,-18.90%,14,86,89,1,64%,0
Niles Paul\PaulNi00,TE,JAX,-9,4,-18.80%,-2.70%,13,98,47,0,77%,0
Hayden Hurst\HursHa00,TE,BAL,-16,-18,-17.50%,-18.80%,23,163,97,1,57%,0
Durham Smythe\SmytDu00,TE,MIA,-17,-20,-31.20%,-34.40%,11,50,23,0,55%,0
Dan Arnold\ArnoDa00,TE,NO,-18,-18,-21.00%,-20.80%,19,150,72,1,63%,1
Eric Tomlinson\TomlEr01,TE,NYJ,-23,-24,-37.40%,-39.10%,14,72,14,0,57%,0
Austin Seferian-Jenkins\SefeAu00,TE,JAX,-24,-33,-25.90%,-33.00%,19,90,56,1,58%,0
Jake Butt\ButtJa00,TE,DEN,-26,-19,-38.70%,-30.70%,13,85,13,0,62%,0
Joshua Perkins\PerkJo02,TE,PHI,-27,-16,-42.20%,-27.70%,11,67,6,0,45%,0
Luke Willson\WillLu00,TE,DET,-28,-25,-28.60%,-26.40%,19,87,49,0,68%,0
Logan Thomas\ThomLo00,TE,BUF,-37,-41,-43.50%,-47.70%,17,77,5,0,71%,0
Brian Parker\ParkBr00,TE,DEN,-40,-35,-65.00%,-58.20%,10,33,-29,0,50%,0
