Player,Team,Salary Cap Value,Cash Spent
DeAndre Hopkins*+\HopkDe00,Texans,18000000,24000000
Dez Bryant\BryaDe01,Cowboys,17000000,13000000
Larry Fitzgerald*\FitzLa00,Cardinals,15850000,11000000
Tavon Austin\AustTa00,Rams,14977116,14977116
Julio Jones*\JoneJu02,Falcons,13900000,11500000
Antonio Brown*+\BrowAn04,Steelers,13618334,19910000
A.J. Green*\GreeA.00,Bengals,13500000,10500000
Randall Cobb\CobbRa00,Packers,12718750,9468750
DeSean Jackson\JackDe00,Buccaneers,12500000,12500000
Demaryius Thomas\ThomDe03,Broncos,12033333,12500000
Jordy Nelson\NelsJo00,Packers,11550000,9218750
Alshon Jeffery\JeffAl00,Eagles,10850000,16250000
T.Y. Hilton*\HiltT.00,Colts,10000000,8000000
Emmanuel Sanders\SandEm00,Broncos,9537500,6850000
Keenan Allen*\AlleKe00,Chargers,8650000,6750000
Marvin Jones\JoneMa02,Lions,8600000,7000000
Golden Tate\TateGo00,Lions,8351250,6000000
Mike Wallace\WallMi00,Ravens,8000000,5750000
Julian Edelman,Patriots,7416666,8250000
Mohamed Sanu\SanuMo00,Falcons,7400000,6000000
Robert Woods\WoodRo02,Rams,7000000,7300000
Allen Hurns\HurnAl01,Jaguars,7000000,7000000
Michael Crabtree\CrabMi00,Raiders,6632353,6569853
Travis Benjamin\BenjTr00,Chargers,6500000,5250000
Pierre Garcon\GarcPi00,49ers,6425000,15900000
Rishard Matthews\MattRi00,Titans,6333333,5000000
Amari Cooper\CoopAm00,Raiders,6180851,2495284
Terrelle Pryor\PryoTe00,Redskins,6000000,6000000
Cordarrelle Patterson\PattCo00,Raiders,5600000,5250000
Markus Wheaton\WheaMa00,Bears,5250000,6000000
Brandon LaFell\LaFeBr00,Bengals,5000000,5000000
Torrey Smith\SmitTo02,Eagles,4875000,5000000
Davante Adams*\AdamDa01,Packers,4851537,18956373
Corey Davis\DaviCo03,Titans,4617227,17073908
Mike Evans\EvanMi00,Buccaneers,4614890,2374617
Kevin White\WhitKe00,Bears,4517195,1940732
Cole Beasley\BeasCo00,Cowboys,4500000,3500000
Brandon Marshall\MarsBr00,Giants,4468750,5156250
Doug Baldwin*\BaldDo00,Seahawks,4418750,8250000
Eric Decker\DeckEr00,Titans,4000000,4625000
Kenny Stills\StilKe00,Dolphins,3750000,9000000
Adam Thielen*\ThieAd00,Vikings,3746000,6746000
Mike Williams\WillMi07,Chargers,3590919,12968676
Jeremy Maclin\MaclJe00,Ravens,3500000,6000000
"Odell Beckham, Jr.",Giants,3311063,1839027
Dwayne Harris,Giants,3300000,2500000
Marquise Goodwin\GoodMa00,49ers,3250000,4500000
Danny Amendola\AmenDa00,Patriots,3116668,1700000
John Ross,Bengals,3111975,11052900
Ted Ginn\GinnTe00,Saints,3000000,5000000
Chris Hogan\HogaCh00,Patriots,2968750,2781250
DeVante Parker\ParkDe01,Dolphins,2966329,1423776
Taylor Gabriel\GabrTa00,Falcons,2746000,2746000
Corey Coleman\ColeCo00,Browns,2648860,979772
Kamar Aiken\AikeKa00,Colts,2600000,2562500
Nelson Agholor\AghoNe00,Eagles,2557465,1287488
Breshad Perriman\PerrBr02,Ravens,2374181,1226394
Harry Douglas\DougHa00,Titans,2342709,1356250
Will Fuller\FullWi01,Texans,2310071,912014
Russell Shepard\ShepRu00,Panthers,2300000,3725000
Josh Doctson\DoctJo00,Redskins,2284010,906802
Laquon Treadwell\TreaLa00,Vikings,2257950,901590
Terrance Williams\WillTe01,Cowboys,2250000,6000000
Jermaine Kearse\KearJe01,Jets,2200000,2750000
Jarius Wright\WrigJa02,Vikings,2160000,2600000
Seth Roberts\RobeSe00,Raiders,2000000,2000000
Donte Moncrief\MoncDo00,Colts,1932880,1797000
John Brown\BrowJo02,Cardinals,1932725,1797000
Kendall Wright\WrigKe01,Bears,1843750,2000000
Andre Roberts\RobeAn00,Falcons,1800000,2000000
Aldrick Robinson\RobiAl00,49ers,1800000,1950000
Albert Wilson\WilsAl02,Chiefs,1797000,1797000
Marqise Lee\LeexMa00,Jaguars,1646280,1125549
Matt Slater,Patriots,1643750,1268750
Dontrelle Inman\InmaDo00,Bears,1615294,1615294
Devin Smith,Jets,1601569,968856
Brandin Cooks\CookBr00,Patriots,1563198,1563198
Devin Funchess\FuncDe00,Panthers,1505698,936900
Paul Richardson\RichPa01,Seahawks,1499539,1062660
Andre Holmes\HolmAn00,Bills,1400000,2500000
Sterling Shepard\ShepSt00,Giants,1351039,720208
Darrius Heyward-Bey\HeywDa00,Steelers,1333333,1200000
Jaron Brown\BrowJa03,Cardinals,1311309,1275000
Zay Jones\JoneZa00,Bills,1232690,3535760
Mike Campanaro,Ravens,1200000,1200000
Cody Latimer\LatiCo00,Broncos,1180025,925725
Phillip Dorsett\DorsPh00,Patriots,1174582,1174582
Curtis Samuel\SamuCu00,Panthers,1173393,3298572
Michael Thomas*\ThomMi05,Saints,1163403,682681
Michael Floyd\FloyMi00,Vikings,1137059,1074559
Allen Robinson\RobiAl02,Jaguars,1117095,898755
Jarvis Landry*\LandJa00,Dolphins,1105652,893850
Brice Butler\ButlBr00,Cowboys,1100000,1100000
Jordan Matthews\MattJo00,Bills,1094901,1094901
Tyler Boyd\BoydTy00,Bengals,967948,643590
Charles Johnson,Panthers,950000,950000
Eric Weems\WeemEr00,Titans,937500,975000
Tyler Lockett\LockTy00,Seahawks,891688,695000
Chris Conley\ConlCh00,Chiefs,838109,660000
De'Anthony Thomas\ThomDe05,Chiefs,803527,698500
Arrelious Benn\BennAr00,Jaguars,798294,758294
Jamison Crowder\CrowJa00,Redskins,751406,615000
Justin Hardy\HardJu00,Falcons,750205,615000
Ryan Grant\GranRy01,Redskins,743403,690000
JuJu Smith-Schuster\SmitJu00,Steelers,735516,1629123
Leonte Carroo\CarrLe00,Dolphins,735097,560000
Braxton Miller\MillBr03,Texans,734776,557500
Martavis Bryant\BryaMa00,Steelers,718346,615000
Cooper Kupp\KuppCo00,Rams,703690,1419760
Jeff Janis\JaniJe00,Packers,702848,690000
Brian Quick\QuicBr00,Redskins,695000,855000
Justin Hunter\HuntJu00,Steelers,695000,855000
Brandon Tate\TateBr00,Bills,695000,980000
Taywan Taylor\TaylTa00,Titans,694003,1381012
Sammy Watkins\WatkSa00,Rams,690000,690000
Nick Williams\WillNi02,Falcons,690000,690000
TJ Jones,Lions,690000,690000
Chris Moore\MoorCh00,Ravens,689090,540000
Ricardo Louis\LouiRi00,Browns,681962,540000
Pharoh Cooper*+\CoopPh00,Rams,678667,540000
Demarcus Robinson\RobiDe01,Chiefs,678293,549000
ArDarius Stewart\StewAr00,Jets,676581,1311324
Rashad Greene,Jaguars,675954,615000
Stefon Diggs\DiggSt00,Vikings,671928,615000
JJ Nelson\NelsJJ00,Cardinals,667450,615000
Chris Godwin\GodwCh00,Buccaneers,663041,1257164
Kenny Golladay\GollKe00,Lions,644706,1183824
Amara Darboh\DarbAm00,Seahawks,641572,1171288
Chad Williams\WillCh05,Cardinals,641572,1171288
Josh Reynolds\ReynJo00,Rams,627006,1113024
Mack Hollins\HollMa00,Eagles,623917,1100668
Cameron Meredith,Bears,617000,615000
Adam Humphries\HumpAd00,Buccaneers,615000,615000
Bennie Fowler\FowlBe00,Broncos,615000,615000
Quincy Enunwa,Jets,615000,615000
Josh Bellamy\BellJo02,Bears,615000,775000
Joe Webb,Bills,615000,900000
Isaiah Burse,Chargers,615000,615000
Tyrell Williams\WillTy00,Chargers,615000,615000
Sammie Coates\CoatSa00,Browns,615000,615000
Brandon Coleman\ColeBr00,Saints,615000,615000
Josh Malone\MaloJo00,Bengals,613382,1058528
Ryan Switzer\SwitRy00,Cowboys,607246,1033984
