PLAYER,POS.,AGE,FROM,TO,YRS,DOLLARS,AAV,TOTAL GTD,GTD AT SIGN,2017 CAP
Jerick McKinnon,RB,26,MIN,SF,4,30000000.00,7500000.00,18000000.00,11700000.00,10500000.00
Dion Lewis\LewiDi00,RB,27,NE,TEN,4,19800000.00,4950000.00,8250000.00,0.00,785000.00
Carlos Hyde\HydeCa00,RB,26,SF,CLE,3,15250000.00,5083333.00,8000000.00,5000000.00,3166666.00
Isaiah Crowell\CrowIs00,RB,25,CLE,NYJ,3,12000000.00,4000000.00,6000000.00,6000000.00,2746000.00
Rex Burkhead\BurkRe00,RB,28,NE,NE,3,9750000.00,3250000.00,5500000.00,5500000.00,2500000.00
Jonathan Stewart\StewJo00,RB,31,CAR,NYG,2,6800000.00,3400000.00,3450000.00,3450000.00,3975000.00
Chris Ivory\IvorCh00,RB,30,JAC,BUF,2,5500000.00,2750000.00,2500000.00,2500000.00,2468750.00
LeGarrette Blount\BlouLe00,RB,31,PHI,DET,1,2000000.00,2000000.00,2000000.00,400000.00,1250000.00
C.J. Anderson\AndeC.00,RB,27,DEN,CAR,1,1750000.00,1750000.00,500000.00,500000.00,1750000.00
Jeremy Hill\HillJe01,RB,25,CIN,NE,1,1500000.00,1500000.00,150000.00,150000.00,1331250.00
Doug Martin\MartDo00,RB,29,TB,OAK,1,1475000.00,1475000.00,0.00,0.00,1475000.00
Darren Sproles\SproDa00,RB,35,PHI,PHI,1,1400000.00,1400000.00,1000000.00,1000000.00,1433000.00
Mike Davis\DaviMi01,RB,25,SEA,SEA,1,1350000.00,1350000.00,350000.00,350000.00,1243750.00
Damien Williams\WillDa05,RB,26,MIA,KC,1,1200000.00,1200000.00,60000.00,60000.00,1137500.00
Frank Gore\GoreFr00,RB,35,IND,MIA,1,1105000.00,1105000.00,90000.00,90000.00,1105000.00
Shane Vereen,RB,29,NYG,NO,1,1050000.00,1050000.00,0.00,0.00,1050000.00
Benny Cunningham\CunnBe01,RB,28,CHI,CHI,1,1050000.00,1050000.00,150000.00,150000.00,1037500.00
Zach Zenner\ZennZa00,RB,26,DET,DET,1,1050000.00,1050000.00,0.00,0.00,925000.00
Jamaal Charles\CharJa00,RB,31,DEN,JAC,1,1015000.00,1015000.00,0.00,0.00,444706.00
Adrian Peterson\PeteAd01,RB,33,ARI,WAS,1,1015000.00,1015000.00,0.00,0.00,630000.00
Charles Sims,RB,27,TB,TB,1,1000000.00,1000000.00,200000.00,200000.00,1000000.00
Alfred Blue\BlueAl00,RB,27,HOU,HOU,1,880000.00,880000.00,90000.00,90000.00,720000.00
Travaris Cadet\CadeTr00,RB,29,BUF,BUF,1,880000.00,880000.00,45000.00,45000.00,720000.00
Taiwan Jones,RB,30,BUF,BUF,1,880000.00,880000.00,45000.00,45000.00,720000.00
Kenjon Barner\BarnKe00,RB,29,PHI,CAR,1,855000.00,855000.00,65000.00,65000.00,695000.00
Brandon Bolden\BoldBr00,RB,28,NE,MIA,1,850000.00,850000.00,0.00,0.00,850000.00
Alfred Morris\MorrAl00,RB,29,DAL,SF,1,790000.00,790000.00,0.00,0.00,630000.00
Terrance West,RB,27,BAL,NO,1,790000.00,790000.00,0.00,0.00,630000.00
Kerwynn Williams,RB,27,ARI,KC,1,790000.00,790000.00,0.00,0.00,630000.00
Stevan Ridley\RidlSt00,RB,29,PIT,PIT,1,790000.00,790000.00,0.00,0.00,630000.00
Fitz Toussaint,RB,28,PIT,PIT,1,790000.00,790000.00,0.00,0.00,630000.00
Branden Oliver,RB,27,LAC,IND,1,705000.00,705000.00,0.00,0.00,705000.00
Thomas Rawls,RB,25,SEA,NYJ,1,705000.00,705000.00,0.00,0.00,705000.00
