Player,Team,DYAR,YAR,DVOA,VOA,Passes,Yards,EYds,TD,Catch Rate,FUM,DPI
,,,,,,,,,,,,
A.Brown,PIT,430,389,20.10%,17.00%,163,"1,533","1,703",9,62%,3,6/155
M.Jones,DET,395,385,33.80%,32.60%,107,"1,101","1,276",9,57%,0,7/159
K.Allen,LACH,378,378,16.50%,16.50%,159,"1,395","1,614",6,64%,1,8/116
D.Hopkins,HOU,367,340,13.30%,11.40%,174,"1,378","1,694",13,55%,1,11/155
M.Thomas,NO,330,335,15.00%,15.40%,149,"1,245","1,460",5,70%,0,11-Feb
J.Smith-Schuster,PIT,317,321,37.30%,38.00%,79,917,983,7,73%,0,13-Jan
J.Jones,ATL,313,326,13.70%,14.80%,148,"1,444","1,427",3,59%,0,Feb-34
T.Hill,KC,304,303,23.60%,23.40%,106,"1,192","1,132",7,72%,0,12-Jan
S.Diggs,MIN,295,308,24.70%,26.30%,95,849,"1,077",8,67%,0,5/105
C.Kupp,LARM,272,266,24.80%,23.90%,92,869,993,5,65%,1,Feb-56
A.Thielen,MIN,261,269,10.10%,10.80%,142,"1,276","1,320",4,64%,3,5/115
T.Ginn,NO,259,266,34.80%,36.20%,70,787,826,4,76%,0,0/0
B.Cooks,NE,258,266,14.90%,15.70%,114,"1,082","1,143",7,57%,0,5/141
S.Watkins,LARM,216,206,24.10%,22.50%,70,593,797,8,56%,0,Mar-71
D.Adams,GB,215,205,10.30%,9.20%,117,885,"1,078",10,63%,0,11-Jan
G.Tate,DET,204,205,9.70%,9.80%,120,"1,003","1,040",5,77%,1,0/0
D.Baldwin,SEA,200,218,9.60%,11.70%,118,983,"1,024",8,65%,0,Mar-45
M.Sanu,ATL,179,180,10.70%,10.90%,96,703,888,5,70%,0,27-Feb
R.Matthews,TEN,173,183,13.60%,15.10%,87,795,788,4,61%,0,0/0
R.Woods,LARM,172,178,13.40%,14.30%,85,781,776,5,66%,1,27-Feb
D.Funchess,CAR,168,157,6.80%,5.50%,112,840,951,8,56%,0,Feb-40
A.Wilson,KC,167,157,21.40%,19.30%,62,554,647,3,68%,0,6-Jan
P.Richardson,SEA,161,183,13.40%,16.90%,80,703,741,6,55%,0,Mar-47
M.Goodwin,SF,155,149,5.90%,5.20%,105,962,907,2,53%,0,27-Jan
T.Williams,LACH,150,142,15.40%,13.90%,69,728,657,4,62%,1,Feb-39
A.Hurns,JAC,149,154,20.60%,21.60%,56,484,586,2,70%,0,15-Jan
M.Evans,TB,149,145,1.20%,0.80%,136,"1,004","1,095",5,52%,0,Mar-62
