Player,Team,Salary Cap Value,Cash Spent
LeSean McCoy\McCoLe01,Bills,8950000,6325000
Todd Gurley\GurlTo01,Rams,7228306,21950000
Ezekiel Elliott\ElliEz00,Cowboys,6806274,2718758
Lamar Miller\MillLa01,Texans,6750000,5703125
Leonard Fournette\FourLe00,Jaguars,6070706,1599182
Jerick McKinnon\McKiJe00,49ers,6000000,11750000
Saquon Barkley\BarkSa00,Giants,5671773,21247092
Mark Ingram\IngrMa01,Saints,5303824,3558824
Latavius Murray\MurrLa00,Vikings,5200000,4000000
David Johnson\JohnDa08,Cardinals,5041843,13882500
Devonta Freeman\FreeDe00,Falcons,5000000,2000000
Bilal Powell\PoweBi00,Jets,4883334,4000000
Marshawn Lynch\LyncMa00,Raiders,4453125,4031250
Dion Lewis\LewiDi00,Titans,4312500,6000000
Giovani Bernard\BernGi00,Bengals,4250000,3450000
Theo Riddick\RiddTh00,Lions,4137500,3162500
Jonathan Stewart\StewJo00,Giants,3925000,3125000
Christian McCaffrey\McCaCh01,Panthers,3918478,1248696
Duke Johnson\JohnDu00,Browns,3894523,5967000
Melvin Gordon\GordMe00,Chargers,3394924,1889967
Chris Thompson\ThomCh03,Redskins,3152250,2152250
Corey Grant\GranCo00,Jaguars,2914000,2914000
James White\WhitJa02,Patriots,2500000,2000000
Chris Ivory\IvorCh00,Bills,2468750,3156250
Rex Burkhead\BurkRe00,Patriots,2312500,4250000
LeGarrette Blount\BlouLe00,Lions,2000000,2000000
Isaiah Crowell\CrowIs00,Jets,2000000,4000000
Rashaad Penny\PennRa00,Seahawks,1957352,6389408
Jay Ajayi\AjayJa00,Eagles,1907000,1907000
T.J. Yeldon\YeldT.00,Jaguars,1881656,1241424
Sony Michel\MichSo00,Patriots,1750308,5561232
Damien Williams\WillDa05,Chiefs,1733333,2800000
Jacquizz Rodgers\RodgJa00,Buccaneers,1600000,1600000
Doug Martin\MartDo00,Raiders,1475000,1475000
Derrick Henry\HenrDe00,Titans,1474890,941630
Dalvin Cook\CookDa01,Vikings,1443934,753787
Darren Sproles\SproDa00,Eagles,1433750,1415000
Nick Chubb\ChubNi00,Browns,1342381,4791905
Jeremy Hill\HillJe01,Patriots,1331250,1218750
