Team,QB,RB,WR,TE,OL,Offense,DL,LB,S,CB,Defense
49ers,"$38,197,259","$8,311,842","$18,448,916","$3,643,398","$33,769,652","$102,371,067","$26,561,491","$8,852,841","$5,634,527","$19,623,596","$60,672,455"
Raiders,"$25,915,200","$7,694,424","$18,652,510","$11,533,431","$36,376,204","$100,171,769","$14,213,805","$10,206,380","$11,068,824","$11,492,532","$46,981,541"
Falcons,"$22,329,200","$7,325,063","$24,432,270","$2,433,131","$40,262,172","$96,781,836","$17,965,541","$8,581,239","$8,818,569","$27,139,828","$62,505,177"
Packers,"$22,071,928","$1,581,868","$26,709,607","$10,835,666","$33,058,976","$94,258,045","$19,504,029","$28,120,459","$6,337,244","$6,889,233","$60,850,965"
Redskins,"$22,370,588","$6,464,791","$11,550,945","$16,639,653","$35,748,048","$92,774,025","$11,918,322","$24,282,734","$5,638,443","$21,140,054","$62,979,553"
Browns,"$24,442,360","$5,651,728","$19,436,865","$7,333,699","$34,889,282","$91,753,934","$16,529,922","$21,320,019","$5,640,141","$18,933,305","$62,423,387"
Saints,"$26,852,600","$7,093,841","$12,859,196","$7,775,068","$35,725,330","$90,306,035","$27,594,929","$14,765,854","$7,798,629","$8,475,586","$58,634,998"
Chargers,"$23,129,200","$4,755,413","$25,433,190","$7,068,484","$27,616,393","$88,002,680","$36,279,780","$7,394,631","$10,693,090","$17,921,985","$72,289,486"
Colts,"$25,722,676","$2,083,712","$20,549,797","$13,375,573","$25,505,806","$87,237,564","$23,924,867","$3,849,218","$6,461,829","$5,307,934","$39,543,848"
Vikings,"$26,462,000","$8,510,220","$15,333,845","$9,592,122","$26,668,316","$86,566,503","$37,136,839","$18,490,720","$15,731,056","$22,554,099","$93,912,714"
Buccaneers,"$12,616,903","$3,981,361","$34,124,743","$10,224,401","$25,173,502","$86,120,910","$52,559,981","$14,813,639","$6,026,118","$15,212,917","$88,612,655"
Eagles,"$21,505,365","$5,143,228","$16,761,079","$7,215,415","$35,461,396","$86,086,483","$40,131,724","$7,463,300","$16,905,015","$5,192,238","$69,692,277"
Patriots,"$23,044,200","$7,894,058","$15,575,488","$16,740,476","$20,349,864","$83,604,086","$18,053,118","$15,991,535","$22,783,881","$15,013,651","$71,842,185"
Panthers,"$22,245,471","$6,826,065","$12,594,544","$9,312,292","$32,444,025","$83,422,397","$40,940,158","$18,702,633","$8,525,314","$10,046,763","$78,214,868"
Bears ,"$10,598,281 ","$2,865,819","$25,821,639","$15,662,132","$27,038,059","$81,985,930","$16,269,909","$38,170,202","$4,184,476","$18,514,959","$77,139,546"
Bengals,"$17,198,153","$6,168,245","$22,333,466","$9,109,741","$26,761,854","$81,571,459","$39,566,157","$18,408,108","$6,643,766","$22,735,864","$87,353,895"
Steelers,"$24,607,847","$1,545,560","$13,094,252","$5,891,394","$35,090,781","$80,229,834","$18,570,996","$22,789,249","$7,577,505","$18,261,233","$67,198,983"
Jets,"$15,760,757","$8,070,717","$13,044,099","$3,861,826","$36,847,212","$77,584,611","$16,336,478","$17,885,505","$11,511,303","$27,956,260","$73,689,546"
Lions,"$27,560,000","$7,708,425","$10,261,176","$4,771,517","$26,454,707","$76,755,825","$25,954,600","$13,152,062","$13,868,343","$12,942,767","$65,917,772"
Seahawks,"$24,620,964","$4,655,724","$20,229,810","$3,273,982","$23,349,614","$76,130,094","$10,766,134","$26,759,580","$26,285,750","$7,339,007","$71,150,471"
Dolphins,"$10,507,195","$4,122,610","$25,766,603","$4,425,226","$30,559,407","$75,381,041","$43,433,317","$14,286,351","$13,320,269","$3,678,898","$74,718,835"
Jaguars,"$10,786,333","$12,425,774","$17,287,457","$4,822,038","$28,024,882","$73,346,484","$51,356,162","$11,985,485","$11,238,779","$27,090,280","$101,670,706"
Cowboys,"$1,816,903","$7,705,768","$17,811,897","$2,372,304","$43,159,686","$72,866,558","$35,783,993","$18,325,353","$4,718,347","$5,642,991","$64,470,684"
Chiefs,"$6,462,373","$3,839,568","$13,410,657","$13,224,159","$34,676,355","$71,613,112","$13,806,414","$37,313,414","$20,988,021","$5,449,388","$77,557,237"
Titans,"$9,704,446","$6,917,202","$8,480,482","$11,443,542","$34,214,395","$70,760,067","$26,928,600","$32,001,276","$11,696,707","$20,975,177","$91,601,760"
Giants,"$23,411,925","$11,329,128","$12,265,128","$7,070,209","$16,351,639","$70,428,029","$6,466,608","$30,767,653","$5,267,371","$13,155,011","$55,656,643"
Ravens,"$27,572,118","$3,363,334","$12,886,087","$4,763,673","$21,740,115","$70,325,327","$10,287,179","$22,742,528","$16,441,962","$26,734,432","$76,206,101"
Broncos,"$15,706,000","$1,963,621","$14,510,892","$2,980,830","$27,685,340","$62,846,683","$19,610,747","$35,195,527","$8,651,558","$23,101,585","$86,559,417"
Rams,"$8,767,592","$9,038,320","$14,151,679","$2,758,153","$27,763,882","$62,479,626","$39,110,096","$16,676,934","$12,948,223","$21,356,753","$90,092,006"
Texans,"$4,498,746","$8,781,571","$22,937,792","$3,958,681","$21,831,728","$62,008,518","$19,458,959","$31,037,318","$11,881,679","$32,029,767","$94,407,723"
Cardinals,"$5,229,993","$6,642,019","$21,383,544","$8,338,914","$16,580,007","$58,174,477","$25,508,623","$16,503,217","$8,859,951","$16,131,635","$67,003,426"
Bills,"$4,972,932","$12,700,103","$3,135,006","$10,226,000","$13,535,618","$44,569,659","$32,407,961","$8,735,891","$12,472,941","$7,366,816","$60,983,609"
