PLAYER,POS.,AGE,FROM,TO,YRS,DOLLARS,AAV,TOTAL GTD,GTD AT SIGN,2016 CAP
DeMarco Murray\MurrDe00,RB,27,DAL,PHI,5,40000000,8000000,21000000,18000000,5000000
C.J. Spiller\SpilC.00,RB,28,BUF,NO,4,16000000,4000000,9000000,5750000,2000000
Shane Vereen\VereSh00,RB,26,NE,NYG,3,12350000,4116667,4750000,4750000,2516666
Frank Gore\GoreFr00,RB,32,SF,IND,3,12000000,4000000,6500000,6500000,4500000
Ryan Mathews\MathRy00,RB,27,SD,PHI,3,11000000,3666667,5000000,5000000,2000000
Justin Forsett\ForsJu00,RB,29,BAL,BAL,3,9000000,3000000,3000000,3000000,1600000
DeAngelo Williams\WillDe02,RB,32,CAR,PIT,2,4000000,2000000,1130000,1130000,1435000
Darren McFadden\McFaDa00,RB,28,OAK,DAL,2,3000000,1500000,200000,200000,1150000
Reggie Bush\BushRe00,RB,30,DET,SF,1,2500000,2500000,1000000,1000000,2406250
Chris Johnson\JohnCh04,RB,29,NYJ,ARI,1,2000000,2000000,400000,400000,870000
Stevan Ridley\RidlSt00,RB,26,NE,NYJ,1,1250000,1250000,80000,80000,1031250
Fred Jackson\JackFr02,RB,34,BUF,SEA,1,900000,900000,0,0,615000
Pierre Thomas\ThomPi00,RB,30,NO,SF,1,870000,870000,0,0,0
Ahmad Bradshaw\BradAh00,RB,29,IND,IND,1,870000,870000,0,0,585000
Jacquizz Rodgers\RodgJa00,RB,25,ATL,CHI,1,785000,785000,40000,40000,625000
Chris Polk\PolkCh00,RB,25,PHI,HOU,1,760000,760000,0,0,747500
Jordan Todman\TodmJo00,RB,25,CAR,PIT,1,745000,745000,0,0,585000
