Rk,Player,Year,Age,Draft,Tm,Lg,G,GS,Yrs,PB,AP1,AV
69,Geno Atkins\AtkiGe99,2016,28,4-120,CIN,NFL,16,16,1,1,0,11
70,Cliff Avril\AvriCl99,2016,30,3-92,SEA,NFL,16,16,1,1,0,11
71,Sam Bradford\BradSa00,2016,29,1-1,MIN,NFL,15,15,1,0,0,11
72,Zach Brown\BrowZa00,2016,27,2-52,BUF,NFL,16,16,1,1,0,11
73,Bryan Bulaga\BulaBr20,2016,27,1-23,GNB,NFL,16,16,1,0,0,11
74,Jurrell Casey\CaseJu00,2016,27,3-77,TEN,NFL,15,15,1,1,0,11
75,Brandin Cooks\CookBr00,2016,23,1-20,NOR,NFL,16,12,1,0,0,11
76,Thomas Davis\DaviTh20,2016,33,1-14,CAR,NFL,16,16,1,1,0,11
77,Carlos Dunlap\DunlCa99,2016,27,2-54,CIN,NFL,16,16,1,1,0,11
78,Julian Edelman\EdelJu00,2016,30,7-232,NWE,NFL,16,13,1,0,0,11
79,Casey Hayward\HaywCa00,2016,27,2-62,SDG,NFL,16,14,1,1,0,11
80,Richie Incognito\IncoRi20,2016,33,3-81,BUF,NFL,16,16,1,1,0,11
81,Linval Joseph\JoseLi99,2016,28,2-46,MIN,NFL,16,16,1,1,0,11
82,Taylor Lewan\LewaTa00,2016,25,1-11,TEN,NFL,16,16,1,1,0,11
83,Cam Newton\NewtCa00,2016,27,1-1,CAR,NFL,15,14,1,0,0,11
84,Brian Orakpo\OrakBr99,2016,30,1-13,TEN,NFL,16,16,1,1,0,11
85,Donald Penn\PennDo20,2016,33,,OAK,NFL,16,16,1,1,0,11
86,Jason Peters\PeteJa21,2016,34,,PHI,NFL,16,16,1,1,0,11
87,Brandon Scherff\ScheBr00,2016,25,1-5,WAS,NFL,16,16,1,1,0,11
88,Zach Strief\StriZa20,2016,33,7-210,NOR,NFL,16,16,1,0,0,11
89,Cameron Wake\WakeCa00,2016,34,,MIA,NFL,16,11,1,1,0,11
90,K.J. Wright\WrigK.00,2016,27,4-99,SEA,NFL,16,16,1,1,0,11
91,Davante Adams\AdamDa01,2016,24,2-53,GNB,NFL,16,15,1,0,0,10
92,Jay Ajayi\AjayJa00,2016,23,5-149,MIA,NFL,15,12,1,1,0,10
93,Doug Baldwin\BaldDo00,2016,28,,SEA,NFL,16,15,1,1,0,10
94,Anthony Barr\BarrAn00,2016,24,1-9,MIN,NFL,16,16,1,1,0,10
95,Odell Beckham\BeckOd00,2016,24,1-12,NYG,NFL,16,16,1,1,0,10
96,Blake Bortles\BortBl00,2016,24,1-3,JAX,NFL,16,16,1,0,0,10
97,Anthony Castonzo\CastAn00,2016,28,1-22,IND,NFL,16,16,1,0,0,10
98,Chris Chester\ChesCh21,2016,33,2-56,ATL,NFL,16,16,1,0,0,10
99,Amari Cooper\CoopAm00,2016,22,1-4,OAK,NFL,16,14,1,1,0,10
100,Fletcher Cox\CoxxFl00,2016,26,1-12,PHI,NFL,16,16,1,1,0,10
101,Taylor Decker\DeckTa00,2016,23,1-16,DET,NFL,16,16,1,0,0,10
102,Mike Evans\EvanMi00,2016,23,1-7,TAM,NFL,16,16,1,1,0,10
103,Melvin Gordon\GordMe00,2016,23,1-15,SDG,NFL,13,11,1,1,0,10
104,Frank Gore\GoreFr00,2016,33,3-65,IND,NFL,16,16,1,0,0,10
105,Tyreek Hill\HillTy00,2016,22,5-165,KAN,NFL,16,1,1,1,1,10
106,Mark Ingram\IngrMa01,2016,27,1-28,NOR,NFL,16,14,1,0,0,10
107,Travis Kelce\KelcTr00,2016,27,3-63,KAN,NFL,16,15,1,1,1,10
108,Ryan Kerrigan\KerrRy00,2016,28,1-16,WAS,NFL,16,16,1,1,0,10
109,Luke Kuechly\KuecLu00,2016,25,1-9,CAR,NFL,10,10,1,1,0,10
110,Jarvis Landry\LandJa00,2016,24,2-63,MIA,NFL,16,16,1,1,0,10
111,Andy Levitre\LeviAn20,2016,30,2-51,ATL,NFL,16,16,1,0,0,10
112,Devin McCourty\McCoDe99,2016,29,1-27,NWE,NFL,16,16,1,1,0,10
113,Jordan Mills\MillJo02,2016,26,5-163,BUF,NFL,16,16,1,0,0,10
114,Morgan Moses\MoseMo00,2016,25,3-66,WAS,NFL,16,16,1,0,0,10
115,Andrus Peat\PeatAn00,2016,23,1-13,NOR,NFL,15,15,1,0,0,10
116,Patrick Peterson\PetePa00,2016,26,1-5,ARI,NFL,16,16,1,1,0,10
117,Mitchell Schwartz\SchwMi00,2016,27,2-37,KAN,NFL,16,16,1,0,0,10
118,Ryan Shazier\ShazRy00,2016,24,1-15,PIT,NFL,13,12,1,1,0,10
119,Richard Sherman\SherRi00,2016,28,5-154,SEA,NFL,16,16,1,1,0,10
120,Nate Solder\SoldNa00,2016,28,1-17,NWE,NFL,15,15,1,0,0,10
121,Ryan Tannehill\TannRy00,2016,28,1-8,MIA,NFL,13,13,1,0,0,10
122,Michael Thomas\ThomMi05,2016,23,2-47,NOR,NFL,15,12,1,0,0,10
123,Spencer Ware\WareSp00,2016,25,6-194,KAN,NFL,14,14,1,0,0,10
124,Eric Weddle\WeddEr99,2016,31,2-37,BAL,NFL,16,16,1,1,0,10
125,Carson Wentz\WentCa00,2016,24,1-2,PHI,NFL,16,16,1,0,0,10
126,Andrew Whitworth\WhitAn20,2016,35,2-55,CIN,NFL,16,16,1,1,0,10
127,Leonard Williams\WillLe02,2016,22,1-6,NYJ,NFL,16,16,1,1,0,10
128,Trent Williams\WillTr21,2016,28,1-4,WAS,NFL,12,12,1,1,0,10
129,Kwon Alexander\AlexKw00,2016,22,4-124,TAM,NFL,16,16,1,0,0,9
130,Cole Beasley\BeasCo00,2016,27,,DAL,NFL,16,6,1,0,0,9
131,Michael Bennett\BennMi99,2016,31,,SEA,NFL,11,11,1,1,0,9
132,Alan Branch\BranAl99,2016,32,2-33,NWE,NFL,16,16,1,0,0,9
133,Ha Ha Clinton-Dix\ClinHa00,2016,24,1-21,GNB,NFL,16,16,1,1,0,9
134,Tevin Coleman\ColeTe01,2016,23,3-73,ATL,NFL,13,0,1,0,0,9
135,Jamie Collins\CollJa00,2016,27,2-52,2TM,NFL,15,14,1,0,0,9
136,Jahri Evans\EvanJa21,2016,33,4-108,NOR,NFL,16,16,1,0,0,9
137,Larry Fitzgerald\FitzLa00,2016,33,1-3,ARI,NFL,16,16,1,1,0,9
138,Joe Flacco\FlacJo00,2016,31,1-18,BAL,NFL,16,16,1,0,0,9
139,Pierre Garcon\GarcPi00,2016,30,6-205,WAS,NFL,16,16,1,0,0,9
140,Joe Haeg\HaegJo00,2016,23,5-155,IND,NFL,15,14,1,0,0,9
