Player,Team,DYAR,YAR,DVOA,VOA,Passes,Yards,EYds,TD,Catch Rate,FUM,DPI
C.Walford,OAK,-11,-17,-22.20%,-29.70%,13,80,38,0,69%,0,0/0
M.Hoomanawanui,NO,-13,-13,-23.80%,-23.90%,10,52,38,1,60%,0,1-Jan
N.Paul,WAS,-16,-17,-20.10%,-20.70%,19,94,71,0,68%,0,25-Jan
A.Fasano,MIA,-21,-19,-27.60%,-24.90%,16,110,42,1,75%,1,0/0
J.Hollister,NE,-40,-35,-58.00%,-51.90%,11,42,-21,0,36%,0,0/0
M.Williams,BAL,-43,-35,-43.30%,-36.10%,18,86,7,1,83%,1,0/0
D.Daniels,IND,-55,-63,-65.30%,-73.40%,13,26,-40,0,23%,0,0/0
J.Hill,NO,-56,-65,-45.10%,-51.20%,23,117,3,1,74%,2,0/0
D.Allen,NE,-57,-57,-42.60%,-42.50%,22,86,11,1,45%,0,0/0
R.Travis,2TM,-57,-52,-59.50%,-55.10%,17,76,-32,0,41%,1,0/0
