Player,Team,Salary Cap Value,Cash Spent
Adrian Peterson\PeteAd01,Vikings,12000000.00,12000000.00
Jonathan Stewart\StewJo00,Panthers,9550000.00,5750000.00
Doug Martin\MartDo00,Buccaneers,7764706.00,7764706.00
LeSean McCoy\McCoLe01,Bills,7675000.00,5050000.00
C.J. Anderson\AndeC.00,Broncos,6000000.00,6000000.00
DeMarco Murray\MurrDe00,Titans,6000000.00,6700000.00
Lamar Miller\MillLa01,Texans,5500000.00,8500000.00
Jamaal Charles\CharJa00,Chiefs,5312500.00,5187500.00
Darren Sproles\SproDa00,Eagles,5100000.00,4000000.00
Shane Vereen\VereSh00,Giants,4916666.00,3750000.00
Giovani Bernard\BernGi00,Bengals,4621517.00,6321364.00
Ezekiel Elliott\ElliEz00,Cowboys,4537516.00,16800064.00
Ryan Mathews\MathRy00,Eagles,4000000.00,3000000.00
Frank Gore\GoreFr00,Colts,4000000.00,4000000.00
Chris Ivory\IvorCh00,Jaguars,3500000.00,7500000.00
Todd Gurley\GurlTo01,Rams,3141632.00,1063326.00
Danny Woodhead\WoodDa02,Chargers,3000000.00,2000000.00
Matt Forte\FortMa00,Jets,3000000.00,5000000.00
Rashad Jennings\JennRa00,Giants,2812500.00,2250000.00
DeAngelo Williams\WillDe02,Steelers,2565000.00,2000000.00
Mark Ingram\IngrMa01,Saints,2510000.00,3100000.00
Melvin Gordon\GordMe00,Chargers,2424946.00,919989.00
James Starks\StarJa00,Packers,2250000.00,2925000.00
Darren McFadden\McFaDa00,Cowboys,2150000.00,1343750.00
Theo Riddick\RiddTh00,Lions,1785250.00,4650000.00
Bilal Powell\PoweBi00,Jets,1733333.00,3500000.00
Andre Ellington\ElliAn00,Cardinals,1696966.00,1671000.00
Benny Cunningham\CunnBe01,Rams,1671000.00,1671000.00
Reggie Bush\BushRe00,Bills,1500000.00,1500000.00
Chris Johnson\JohnCh04,Cardinals,1500000.00,1500000.00
T.J. Yeldon\YeldT.00,Jaguars,1344040.00,703808.00
Alfred Morris\MorrAl00,Cowboys,1300000.00,1800000.00
Brandon Bolden\BoldBr00,Patriots,1272500.00,1135000.00
Cedric Peerman\PeerCe00,Bengals,1210000.00,1085000.00
Taiwan Jones\JoneTa00,Raiders,1150000.00,1150000.00
Le'Veon Bell\BellLe00,Steelers,1130346.00,796271.00
Dion Lewis\LewiDi00,Patriots,1087500.00,1000000.00
Eddie Lacy\LacyEd00,Packers,1079404.00,867602.00
Lance Dunbar\DunbLa00,Cowboys,1031250.00,1250000.00
LeGarrette Blount\BlouLe00,Patriots,1025000.00,1000000.00
Jeremy Hill\HillJe01,Bengals,1023710.00,761237.00
Carlos Hyde\HydeCa00,49ers,1004094.00,754698.00
Derrick Henry\HenrDe00,Titans,983260.00,2583040.00
Charcandrick West\WestCh01,Chiefs,958333.00,1625000.00
Spencer Ware\WareSp00,Chiefs,958333.00,1625000.00
Ameer Abdullah\AbduAm00,Lions,944574.00,623915.00
Jonathan Grimes\GrimJo01,Texans,900000.00,900000.00
Chase Reynolds\ReynCh00,Rams,862500.00,875000.00
Shaun Draughn\DrauSh00,49ers,860000.00,860000.00
Tim Hightower\HighTi00,Saints,840000.00,840000.00
Matt Asiata\AsiaMa00,Vikings,840000.00,840000.00
Charles Sims\SimsCh00,Buccaneers,836023.00,665000.00
Tevin Coleman\ColeTe01,Falcons,753811.00,567500.00
James Develin\DeveJa00,Patriots,750000.00,750000.00
Jerick McKinnon\McKiJe00,Vikings,738750.00,610000.00
Duke Johnson\JohnDu00,Browns,732523.00,555000.00
Stepfan Taylor\TaylSt00,Cardinals,725125.00,675000.00
Fozzy Whittaker\WhitFo00,Panthers,725000.00,700000.00
Devonta Freeman\FreeDe00,Falcons,721106.00,600000.00
Ka'Deem Carey\CareKa00,Bears,710845.00,600000.00
David Johnson\JohnDa08,Cardinals,708843.00,549000.00
Latavius Murray\MurrLa00,Raiders,701550.00,675000.00
Rex Burkhead\BurkRe00,Bengals,700550.00,675000.00
James White\WhitJa02,Patriots,699272.00,600000.00
Ty Montgomery\MontTy01,Packers,693386.00,541750.00
Matt Jones\JoneMa04,Redskins,688854.00,539000.00
Bobby Rainey\RainBo00,Giants,680000.00,840000.00
Lorenzo Taliaferro\TaliLo00,Ravens,675146.00,600000.00
Chris Thompson\ThomCh03,Redskins,675000.00,675000.00
Jeremy Langford\LangJe00,Bears,660906.00,543624.00
Kenyan Drake\DrakKe00,Dolphins,655315.00,1271260.00
Javorius Allen\AlleJa01,Ravens,643618.00,525000.00
Mike Davis\DaviMi01,49ers,642195.00,525000.00
Alfred Blue\BlueAl00,Texans,629483.00,600000.00
C.J. Prosise\ProsC.00,Seahawks,623116.00,1142464.00
Isaiah Crowell\CrowIs00,Browns,603334.00,600000.00
