Player,Team,Salary Cap Value,Cash Spent
David Johnson\JohnDa08,Cardinals,9750000,6656250
Todd Gurley\GurlTo01,Rams,9200000,5000000
Le'Veon Bell\BellLe00,Jets,8968750,14500000
Leonard Fournette\FourLe00,Jaguars,7404786,2933262
Saquon Barkley\BarkSa00,Giants,7089716,1897943
Devonta Freeman\FreeDe00,Falcons,6750000,3750000
Ezekiel Elliott*\ElliEz00,Cowboys,6339653,8252137
Giovani Bernard\BernGi00,Bengals,5266667,5316667
Dion Lewis\LewiDi00,Titans,4862500,4300000
Christian McCaffrey*+\McCaCh01,Panthers,4702174,2032392
James White\WhitJa02,Patriots,4625000,3250000
Melvin Gordon\GordMe00,Chargers,4615882,4615882
Chris Thompson\ThomCh03,Redskins,3906250,3000000
Tevin Coleman\ColeTe01,49ers,3600000,3568750
Mark Ingram*\IngrMa01,Ravens,3333333,6000000
Jalen Richard\RichJa01,Raiders,3095000,3095000
Rex Burkhead\BurkRe00,Patriots,3000000,2156250
LeSean McCoy\McCoLe01,Chiefs,3000000,3000000
Rashaad Penny\PennRa00,Seahawks,2446690,969338
Duke Johnson\JohnDu00,Texans,2200000,2200000
Sony Michel\MichSo00,Patriots,2187885,917577
Josh Jacobs\JacoJo01,Raiders,2169709,7193836
Peyton Barber\BarbPe01,Buccaneers,2125000,2125000
Malcolm Brown\BrowMa03,Rams,2125000,2200000
Jordan Howard\HowaJo00,Eagles,2025000,2025000
Frank Gore\GoreFr00,Bills,2000000,2000000
Carlos Hyde\HydeCa00,Texans,1900000,1900000
Raheem Mostert\MostRa00,49ers,1895833,2650000
Latavius Murray\MurrLa00,Saints,1850000,4400000
Adrian Peterson\PeteAd01,Redskins,1780000,2530000
Damien Williams\WillDa05,Chiefs,1733333,1200000
Dalvin Cook*\CookDa01,Vikings,1732721,1042574
Derrick Henry*\HenrDe00,Titans,1720705,1187445
Brandon Bolden\BoldBr00,Patriots,1700000,2187500
Nick Chubb*\ChubNi00,Browns,1677976,815595
Ronald Jones\JoneRo01,Buccaneers,1607256,801451
Joe Mixon\MixoJo00,Bengals,1486408,960470
Kerryon Johnson\JohnKe06,Lions,1478113,775623
