,Player,Team_x,DYAR,YAR,DVOA,VOA,Runs,Yards,EYds,TD,FUM,Rk,Year,Age,Draft,Tm,Lg,G,GS,Yrs,PB,AP1,AV,Team_y,Salary Cap Value,Cash Spent
38,Matt Forte\FortMa00,NYJ,-20,11,-0.139,-0.057,103,382,297,2,1,508,2017,32,Feb-44,NYJ,NFL,12,4,1,0,0,5,Jets,5000000.0,4000000.0
39,Jerick McKinnon\McKiJe00,MIN,-24,-25,-0.127,-0.128,150,570,460,3,2,134,2017,25,Mar-96,MIN,NFL,16,1,1,0,0,9,Vikings,828750.0,700000.0
40,LeSean McCoy\McCoLe01,BUF,-26,-7,-0.10800000000000001,-0.092,286,"1,138",962,6,3,73,2017,29,Feb-53,BUF,NFL,16,16,1,1,0,11,Bills,10375000.0,6250000.0
41,Chris Ivory\IvorCh00,JAC,-38,-50,-0.17,-0.19699999999999998,112,386,327,1,2,525,2017,29,,JAX,NFL,14,3,1,0,0,5,Jaguars,6000000.0,5000000.0
42,Bilal Powell\PoweBi00,NYJ,-43,5,-0.14800000000000002,-0.079,178,772,526,5,0,428,2017,29,4-126,NYJ,NFL,15,10,1,0,0,6,Jets,4633333.0,3750000.0
43,Jonathan Stewart\StewJo00,CAR,-54,-34,-0.14800000000000002,-0.126,198,681,650,6,3,571,2017,30,13-Jan,CAR,NFL,15,10,1,0,0,5,Panthers,6175000.0,4218750.0
46,Samaje Perine\PeriSa00,WAS,-85,-63,-0.205,-0.174,174,599,478,1,2,552,2017,22,4-114,WAS,NFL,16,8,1,0,0,5,Redskins,629947.0,1124788.0
48,Duke Johnson\JohnDu00,CLE,90,92,0.157,0.161,81,344,467,4,1,399,2017,24,Mar-77,CLE,NFL,16,0,1,0,0,6,Browns,830023.0,652500.0
53,Rex Burkhead\BurkRe00,NE,56,65,0.105,0.136,64,264,344,5,1,486,2017,27,6-190,NWE,NFL,10,3,1,0,0,5,Patriots,3150000.0,3150000.0
69,Chris Thompson\ThomCh03,WAS,9,8,-0.049,-0.052000000000000005,64,296,219,2,1,448,2017,27,5-154,WAS,NFL,10,1,1,0,0,6,Redskins,2500000.0,4500000.0
73,Tarik Cohen\CoheTa00,CHI,6,4,-0.068,-0.073,87,372,284,2,2,363,2017,22,4-119,CHI,NFL,16,4,1,0,0,6,Bears,623289.0,1098156.0
78,James White\WhitJa02,NE,-1,8,-0.09300000000000001,-0.036000000000000004,43,171,143,0,0,457,2017,25,4-130,NWE,NFL,14,4,1,0,0,6,Patriots,1789272.0,4690000.0
81,Theo Riddick\RiddTh00,DET,-3,-8,-0.095,-0.113,84,286,258,3,1,436,2017,26,6-199,DET,NFL,16,5,1,0,0,6,Lions,2400000.0,1475000.0
