Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,Lng,Y/Tgt,R/G,Y/G,Fmb
50,JuJu Smith-Schuster\SmitJu00,PIT,21,wr,14,7,79,58,73.40%,917,15.8,7,97,11.6,4.1,65.5,0
51,Kenny Stills\StilKe00,MIA,25,WR,16,16,105,58,55.20%,847,14.6,6,61,8.1,3.6,52.9,4
52,Jimmy Graham*\GrahJi00,SEA,31,TE,16,13,96,57,59.40%,520,9.1,10,33,5.4,3.6,32.5,0
53,T.Y. Hilton*\HiltT.00,IND,28,WR,16,16,109,57,52.30%,966,16.9,4,80,8.9,3.6,60.4,2
54,Alshon Jeffery\JeffAl00,PHI,27,WR,16,16,120,57,47.50%,789,13.8,9,53,6.6,3.6,49.3,0
55,DeVante Parker\ParkDe01,MIA,24,WR,13,12,96,57,59.40%,670,11.8,1,36,7,4.4,51.5,1
56,Kyle Rudolph*\RudoKy00,MIN,28,TE,16,16,81,57,70.40%,532,9.3,8,34,6.6,3.6,33.3,0
57,Marquise Goodwin\GoodMa00,SFO,27,WR,16,16,105,56,53.30%,962,17.2,2,83,9.2,3.5,60.1,0
58,Marqise Lee\LeexMa00,JAX,26,WR,14,14,96,56,58.30%,702,12.5,3,45,7.3,4,50.1,1
59,James White\WhitJa02,NWE,25,rb,14,4,72,56,77.80%,429,7.7,3,27,6,4,30.6,0
60,Robert Woods\WoodRo02,LAR,25,WR,12,11,85,56,65.90%,781,13.9,5,94,9.2,4.7,65.1,1
61,Jared Cook\CookJa02,OAK,30,TE,16,16,86,54,62.80%,688,12.7,2,35,8,3.4,43,1
62,Eric Decker\DeckEr00,TEN,30,WR,16,8,83,54,65.10%,563,10.4,1,29,6.8,3.4,35.2,0
63,Tarik Cohen\CoheTa00,CHI,22,rb/wr,16,4,71,53,74.60%,353,6.7,1,70,5,3.3,22.1,3
64,Eric Ebron\EbroEr00,DET,24,TE,16,9,86,53,61.60%,574,10.8,4,44,6.7,3.3,35.9,1
65,Ted Ginn\GinnTe00,NOR,32,WR,15,10,70,53,75.70%,787,14.8,4,54,11.2,3.5,52.5,2
66,Kareem Hunt*\HuntKa00,KAN,22,RB,16,16,63,53,84.10%,455,8.6,3,78,7.2,3.3,28.4,1
67,Rishard Matthews\MattRi00,TEN,28,WR,14,11,87,53,60.90%,795,15,4,75,9.1,3.8,56.8,0
68,Jordy Nelson\NelsJo00,GNB,32,WR,15,15,88,53,60.20%,482,9.1,6,58,5.5,3.5,32.1,0
69,Theo Riddick\RiddTh00,DET,26,rb,16,5,71,53,74.60%,444,8.4,2,63,6.3,3.3,27.8,1
70,Terrance Williams\WillTe01,DAL,28,WR,16,14,78,53,67.90%,568,10.7,0,56,7.3,3.3,35.5,0
71,Brandon LaFell\LaFeBr00,CIN,31,WR,16,15,89,52,58.40%,548,10.5,3,45,6.2,3.3,34.3,1
72,Mike Wallace\WallMi00,BAL,31,WR,15,14,92,52,56.50%,748,14.4,4,66,8.1,3.5,49.9,0
73,Jerick McKinnon\McKiJe00,MIN,25,rb,16,1,68,51,75.00%,421,8.3,2,41,6.2,3.2,26.3,3
74,Martavis Bryant\BryaMa00,PIT,26,WR,15,8,84,50,59.50%,603,12.1,3,51,7.2,3.3,40.2,0
75,DeSean Jackson\JackDe00,TAM,31,WR,14,13,90,50,55.60%,668,13.4,3,41,7.4,3.6,47.7,0
76,Austin Seferian-Jenkins\SefeAu00,NYJ,25,TE,13,10,74,50,67.60%,357,7.1,3,28,4.8,3.8,27.5,1
77,Charles Clay\ClayCh00,BUF,28,TE,13,13,74,49,66.20%,558,11.4,2,44,7.5,3.8,42.9,1
78,Austin Hooper\HoopAu00,ATL,23,TE,16,8,65,49,75.40%,526,10.7,3,88,8.1,3.1,32.9,0
79,Kelvin Benjamin\BenjKe00,2TM,26,,14,14,78,48,61.50%,692,14.4,3,43,8.9,3.4,49.4,0
80,Cameron Brate\BratCa00,TAM,26,te,16,6,77,48,62.30%,591,12.3,6,35,7.7,3,36.9,1
81,Amari Cooper\CoopAm00,OAK,23,WR,14,12,96,48,50.00%,680,14.2,7,87,7.1,3.4,48.6,1
82,Emmanuel Sanders\SandEm00,DEN,30,WR,12,11,92,47,51.10%,555,11.8,2,38,6,3.9,46.3,0
83,Javorius Allen\AlleJa01,BAL,26,,16,0,60,46,76.70%,250,5.4,2,20,4.2,2.9,15.6,0
84,Ryan Grant\GranRy01,WAS,27,wr,16,7,65,45,69.20%,573,12.7,4,40,8.8,2.8,35.8,0
85,Hunter Henry\HenrHu00,LAC,23,fb/tb/TE,14,13,62,45,72.60%,579,12.9,4,34,9.3,3.2,41.4,0
86,Tyler Lockett\LockTy00,SEA,25,WR,16,8,71,45,63.40%,555,12.3,2,74,7.8,2.8,34.7,0
87,Paul Richardson\RichPa01,SEA,25,WR,16,13,80,44,55.00%,703,16,6,61,8.8,2.8,43.9,0
88,Shane Vereen\VereSh00,NYG,28,,16,0,53,44,83.00%,253,5.8,0,20,4.8,2.8,15.8,0
