Player,Team,Salary Cap Value,Cash Spent
Adrian Peterson\PeteAd01,Vikings,15400000.00,13000000.00
Matt Forte\FortMa00,Bears,9200000.00,7903125.00
Arian Foster\FostAr00,Texans,8706250.00,6125000.00
Marshawn Lynch\LyncMa00,Seahawks,8500000.00,12000000.00
Jonathan Stewart\StewJo00,Panthers,8300000.00,4500000.00
Jamaal Charles\CharJa00,Chiefs,7970835.00,6012500.00
LeSean McCoy\McCoLe01,Bills,5500000.00,16000000.00
DeMarco Murray\MurrDe00,Eagles,5000000.00,9000000.00
Frank Gore\GoreFr00,Colts,4500000.00,4500000.00
Darren Sproles\SproDa00,Eagles,4100000.00,3100000.00
Joique Bell\BellJo01,Lions,3500000.00,2500000.00
Dexter McCluster\McClDe00,Titans,3350000.00,2350000.00
Toby Gerhart\GerhTo00,Jaguars,3000000.00,3000000.00
Rashad Jennings\JennRa00,Giants,2812500.00,2250000.00
Chris Ivory\IvorCh00,Jets,2750000.00,2000000.00
Shane Vereen\VereSh00,Giants,2516666.00,4850000.00
Todd Gurley\GurlTo01,Rams,2513306.00,8748224.00
Danny Woodhead\WoodDa02,Chargers,2500000.00,1500000.00
Reggie Bush\BushRe00,49ers,2406250.00,2293750.00
Donald Brown\BrowDo00,Chargers,2294118.00,2294118.00
Doug Martin\MartDo00,Buccaneers,2159668.00,1315572.00
Roy Helu\HeluRo00,Raiders,2100000.00,2100000.00
Mark Ingram\IngrMa01,Saints,2000000.00,4700000.00
C.J. Spiller\SpilC.00,Saints,2000000.00,5750000.00
Ryan Mathews\MathRy00,Eagles,2000000.00,4000000.00
Bilal Powell\PoweBi00,Jets,2000000.00,2000000.00
Melvin Gordon\GordMe00,Chargers,1939957.00,6454828.00
James Starks\StarJa00,Packers,1837500.00,1550000.00
Lamar Miller\MillLa01,Dolphins,1663500.00,1542000.00
Justin Forsett\ForsJu00,Ravens,1600000.00,3000000.00
Alfred Morris\MorrAl00,Redskins,1572775.00,1542000.00
Lance Dunbar\DunbLa00,Cowboys,1542000.00,1542000.00
Bobby Rainey\RainBo00,Buccaneers,1542000.00,1542000.00
DeAngelo Williams\WillDe02,Steelers,1435000.00,2000000.00
Giovani Bernard\BernGi00,Bengals,1432729.00,882576.00
Anthony Dixon\DixoAn00,Bills,1266666.00,1000000.00
Taiwan Jones\JoneTa00,Raiders,1150000.00,1150000.00
Darren McFadden\McFaDa00,Cowboys,1150000.00,1550000.00
Stevan Ridley\RidlSt00,Jets,1096875.00,1016875.00
T.J. Yeldon\YeldT.00,Jaguars,1075232.00,2995928.00
Brandon Bolden\BoldBr00,Patriots,1035000.00,1172500.00
Le'Veon Bell\BellLe00,Steelers,1032082.00,687882.00
LeGarrette Blount\BlouLe00,Patriots,955882.00,1130882.00
Ronnie Hillman\HillRo00,Broncos,942708.00,770000.00
Eddie Lacy\LacyEd00,Packers,925203.00,713401.00
Cedric Peerman\PeerCe00,Bengals,920000.00,1045000.00
Fred Jackson\JackFr02,Seahawks,900000.00,900000.00
Bishop Sankey\SankBi00,Titans,873522.00,594704.00
Chris Johnson\JohnCh04,Cardinals,870000.00,1150000.00
Jeremy Hill\HillJe01,Bengals,853091.00,590618.00
Carlos Hyde\HydeCa00,49ers,836745.00,587349.00
Matt Asiata\AsiaMa00,Vikings,800000.00,800000.00
Ameer Abdullah\AbduAm00,Lions,755659.00,1717636.00
Chris Polk\PolkCh00,Texans,753750.00,753750.00
Knile Davis\DaviKn00,Chiefs,736504.00,610000.00
Charles Sims\SimsCh00,Buccaneers,726023.00,555000.00
Tre Mason\MasoTr00,Rams,689410.00,530035.00
Dion Lewis\LewiDi00,Patriots,673471.00,1073471.00
Bernard Pierce\PierBe00,Jaguars,660000.00,660000.00
Jerick McKinnon\McKiJe00,Vikings,648750.00,520000.00
Stepfan Taylor\TaylSt00,Cardinals,635125.00,585000.00
Fozzy Whittaker\WhitFo00,Panthers,635000.00,660000.00
Devonta Freeman\FreeDe00,Falcons,631106.00,510000.00
Jacquizz Rodgers\RodgJa00,Bears,625000.00,785000.00
Andre Williams\WillAn00,Giants,623400.00,510000.00
Tevin Coleman\ColeTe01,Falcons,621311.00,1180244.00
Ka'Deem Carey\CareKa00,Bears,620845.00,510000.00
Duke Johnson\JohnDu00,Browns,612523.00,1145092.00
Latavius Murray\MurrLa00,Raiders,611550.00,585000.00
Andre Ellington\ElliAn00,Cardinals,610966.00,585000.00
Rex Burkhead\BurkRe00,Bengals,610550.00,585000.00
James White\WhitJa02,Patriots,609272.00,510000.00
Theo Riddick\RiddTh00,Lions,607750.00,585000.00
David Johnson\JohnDa08,Cardinals,594843.00,1074372.00
C.J. Anderson\AndeC.00,Broncos,589168.00,585000.00
Benny Cunningham\CunnBe01,Rams,588334.00,585000.00
Khiry Robinson\RobiKh00,Saints,585334.00,585000.00
Jorvorskie Lane\LaneJo00,Buccaneers,585000.00,585000.00
Chase Reynolds\ReynCh00,Rams,585000.00,585000.00
Zac Stacy\StacZa00,Jets,585000.00,585000.00
Zac Stacy\StacZa00,Texans,585000.00,585000.00
Chris Thompson\ThomCh03,Redskins,585000.00,585000.00
Jordan Todman\TodmJo00,Steelers,585000.00,745000.00
Matt Jones\JoneMa04,Redskins,584854.00,1034416.00
Jeremy Langford\LangJe00,Bears,570906.00,978624.00
Javorius Allen\AlleJa01,Ravens,553618.00,909472.00
Derrick Coleman\ColeDe00,Seahawks,550588.00,550588.00
Alfred Blue\BlueAl00,Texans,539483.00,510000.00
Isaiah Crowell\CrowIs00,Browns,513333.00,510000.00
Juwan Thompson\ThomJu01,Broncos,511166.00,510000.00
Damien Williams\WillDa05,Dolphins,511166.00,510000.00
Orleans Darkwa\DarkOr00,Giants,510000.00,510000.00
Antonio Andrews\AndrAn00,Titans,510000.00,510000.00
Kenjon Barner\BarnKe00,Eagles,510000.00,510000.00
Charcandrick West\WestCh01,Chiefs,510000.00,510000.00
Mike Davis\DaviMi01,49ers,497136.00,848721.00
Karlos Williams\WillKa01,Bills,488838.00,650352.00
Cameron Artis-Payne\ArtiCa00,Panthers,476563.00,601252.00
Lorenzo Taliaferro\TaliLo00,Ravens,460205.00,385059.00
David Cobb\CobbDa00,Titans,441088.00,624529.00
Glenn Winston\WinsGl00,Browns,437117.00,437117.00
Brandon Wegher\WeghBr00,Panthers,435833.00,437500.00
Terron Ward\WardTe00,Falcons,435333.00,436000.00
Jay Ajayi\AjayJa00,Dolphins,435144.00,614518.00
Marcus Murphy\MurpMa03,Saints,431675.00,483641.00
Nikita Whitlock\WhitNi01,Giants,421235.00,421235.00
Thomas Rawls\RawlTh00,Seahawks,419353.00,429353.00
Branden Oliver\OlivBr01,Chargers,416294.00,416294.00
Joe Banyard\BanyJo00,Jaguars,378529.00,378529.00
Corey Grant\GranCo00,Jaguars,360960.00,364294.00
Zach Zenner\ZennZa00,Lions,360960.00,364294.00
Spencer Ware\WareSp00,Chiefs,360000.00,360000.00
Tyler Varga\VargTy00,Colts,354412.00,359412.00
Ahmad Bradshaw\BradAh00,Colts,343235.00,487059.00
Shaun Draughn\DrauSh00,49ers,333412.00,333412.00
George Winn\WinnGe00,Lions,330000.00,330000.00
Tim Hightower\HighTi00,Saints,309706.00,394412.00
Rod Smith\SmitRo06,Cowboys,307059.00,307059.00
Cierre Wood\WoodCi00,Bills,295059.00,295059.00
Robert Turbin\TurbRo00,Cowboys,271765.00,271765.00
Kendall Gaskins\GaskKe00,49ers,255882.00,255882.00
Dan Herron\HerrDa00,Colts,232941.00,232941.00
Fitzgerald Toussaint\TousFi00,Steelers,180000.00,180000.00
Akeem Hunt\HuntAk01,Texans,179118.00,179118.00
Mike Gillislee\GillMi00,Bills,150000.00,150000.00
Kerwynn Williams\WillKe05,Cardinals,150000.00,150000.00
Pierre Thomas\ThomPi00,Redskins,137647.00,204706.00
John Crockett\CrocJo00,Packers,127941.00,127941.00
Austin Johnson\JohnAu00,Saints,120000.00,120000.00
Kendall Hunter\HuntKe00,Saints,116471.00,116471.00
Bryce Brown\BrowBr02,Seahawks,116471.00,116471.00
Christine Michael\MichCh00,Seahawks,103235.00,103235.00
Jonas Gray\GrayJo00,Jaguars,90000.00,90000.00
DuJuan Harris\HarrDu01,49ers,77647.00,77647.00
Raheem Mostert\MostRa00,Browns,76765.00,76765.00
Terrence Magee\MageTe00,Ravens,76765.00,76765.00
Kapri Bibbs\BibbKa00,Broncos,72600.00,72600.00
Steven Jackson\JackSt00,Patriots,68824.00,114118.00
Trey Watts\WattTr00,Rams,60000.00,60000.00
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
