PLAYER,POS.,AGE,FROM,TO,YRS,DOLLARS,AAV,TOTAL GTD,GTD AT SIGN,2020 CAP
Melvin Gordon\GordMe00,RB,27,LAC,DEN,2,16000000,8000000,13500000,3500000,7000000
Jordan Howard\HowaJo00,RB,25,PHI,MIA,2,9750000,4875000,4750000,4750000,4750000
Todd Gurley\GurlTo01,RB,26,LAR,ATL,1,6000000,6000000,0,0,0
J.D. McKissic\McKiJ.00,RB,27,DET,WAS,2,3250000,625000,1000000,1000000,1600000
Peyton Barber\BarbPe01,RB,26,TB,WAS,2,3000000,1500000,600000,0,0
