PLAYER,POS.,AGE,FROM,TO,YRS,DOLLARS,AAV,TOTAL GTD,GTD AT SIGN,2016 CAP
Chris Ivory\IvorCh00,RB,28,NYJ,JAC,5,32000000.00,6400000.00,10000000.00,10000000.00,3468750.00
Lamar Miller\MillLa01,RB,25,MIA,HOU,4,26000000.00,6500000.00,14000000.00,14000000.00,5500000.00
Matt Forte\FortMa00,RB,30,CHI,NYJ,3,12000000.00,4000000.00,9000000.00,9000000.00,3000000.00
Bilal Powell\PoweBi00,RB,27,NYJ,NYJ,3,11250000.00,3750000.00,6000000.00,6000000.00,1733333.00
James Starks\StarJa00,RB,30,GB,GB,2,6000000.00,3000000.00,1500000.00,1500000.00,2250000.00
Alfred Morris\MorrAl00,RB,27,WAS,DAL,2,3500000.00,1750000.00,1800000.00,1800000.00,1300000.00
Reggie Bush\BushRe00,RB,31,SF,BUF,1,1500000.00,1500000.00,375000.00,375000.00,1500000.00
Arian Foster\FostAr00,RB,30,HOU,MIA,1,1500000.00,1500000.00,400000.00,400000.00,1338750.00
Chris Johnson\JohnCh04,RB,30,ARI,ARI,1,1500000.00,1500000.00,1300000.00,1300000.00,1500000.00
Lance Dunbar\DunbLa00,RB,26,DAL,DAL,1,1250000.00,1250000.00,100000.00,100000.00,987500.00
Khiry Robinson\RobiKh00,RB,26,NO,NYJ,1,1175000.00,1175000.00,80000.00,80000.00,990000.00
LeGarrette Blount\BlouLe00,RB,29,NE,NE,1,1000000.00,1000000.00,100000.00,0.00,0.00
Jonathan Grimes\GrimJo01,RB,26,HOU,HOU,1,900000.00,900000.00,200000.00,200000.00,900000.00
Justin Forsett\ForsJu00,RB,30,BAL,DET,1,885000.00,885000.00,0.00,0.00,624705.00
