ROUND,PICK,TEAM,PLAYER,POS,AGE,COLLEGE,YRS,TOTAL VALUE,SIGNING BONUS,2015 CAP
1,10,STL,Todd Gurley*\GurlTo01,RB,20,Georgia,4,13823183.00,8313224.00,2513306.00
1,15,SDfrom SF,Melvin Gordon\GordMe00,RB,22,Wisconsin,4,10669773.00,6019835.00,1926193.00
2,36,JAC,T.J. Yeldon\YeldT.00,RB,21,Alabama,4,5913774.00,2560927.00,1075231.00
2,54,DET,Ameer Abdullah\AbduAm00,RB,21,Nebraska,4,4156126.00,1282637.00,755659.00
3,73,ATL,Tevin Coleman\ColeTe01,RB,22,Indiana,4,3219372.00,745244.00,621311.00
3,77,CLE,Duke Johnson\JohnDu00,RB,21,Miami (FL),4,3105092.00,710092.00,612523.00
3,86,ARI,David Johnson\JohnDa08,RB,23,Northern Iowa,4,2919373.00,639373.00,594843.00
3,94,GB,Ty Montgomery\MontTy01,RB,22,Stanford,4,2948795.00,606545.00,572871.00
3,95,WASfrom SEA,Matt Jones\JoneMa04,RB,22,Florida,4,2951415.00,599415.00,584853.00
4,106,CHI,Jeremy Langford\LangJe00,RB,23,Michigan State,4,2823623.00,543623.00,570906.00
4,125,BAL,Javorius Allen\AlleJa01,RB,23,Southern California,4,2754471.00,474471.00,553618.00
4,126,SFfrom DEN,Mike Davis\DaviMi01,RB,22,South Carolina,4,2748781.00,468781.00,552195.00
5,138,TEN,David Cobb\CobbDa00,RB,21,Minnesota,4,2525668.00,245668.00,496417.00
5,149,MIAfrom MIN,Jay Ajayi\AjayJa00,RB,21,Boise State,4,2500813.00,220813.00,435144.00
5,155,BUF,Karlos Williams\WillKa01,RB,21,Florida State,4,2495352.00,215352.00,488838.00
5,174 (C),CAR,Cameron Artis-Payne\ArtiCa00,RB,24,Auburn,4,2446254.00,166254.00,476563.00
6,205,IND,Josh Robinson\RobiJo02,RB,22,Mississippi State,4,2388166.00,108166.00,462042.00
7,230,NO,Marcus Murphy\MurpMa03,RB,24,Missouri,4,2349289.00,69289.00,431674.00
