Player,Team,DYAR,YAR,DVOA,VOA,Runs,Yards,EYds,TD,FUM
Todd Gurley*+\GurlTo01,LAR,367,341,23.70%,21.40%,256,"1,251","1,573",17,0
Derrick Henry\HenrDe00,TEN,280,233,23.10%,17.70%,215,"1,059","1,217",12,0
Alvin Kamara*\KamaAl00,NO,237,280,18.50%,23.40%,194,896,"1,138",14,0
Marlon Mack\MackMa00,IND,215,176,16.60%,12.10%,195,912,"1,082",9,1
Melvin Gordon*\GordMe00,LAC,208,238,20.50%,24.80%,175,885,952,10,0
Phillip Lindsay*\LindPh00,DEN,201,227,17.00%,20.40%,192,"1,037","1,003",9,0
Christian McCaffrey\McCaCh01,CAR,167,181,9.70%,11.10%,219,"1,099","1,058",7,2
Joe Mixon\MixoJo00,CIN,154,153,6.50%,6.30%,237,"1,168","1,132",8,0
Ezekiel Elliott*\ElliEz00,DAL,150,120,3.00%,0.70%,304,"1,436","1,356",6,6
Aaron Jones\JoneAa00,GB,145,183,16.90%,23.70%,133,728,724,9,1
Kareem Hunt\HuntKa00,KC,131,132,8.70%,8.80%,181,840,866,8,0
Gus Edwards\EdwaGu00,BAL,130,201,14.00%,26.40%,137,718,707,2,0
Chris Carson\CarsCh00,SEA,127,133,3.30%,3.90%,247,"1,151","1,123",9,3
Kerryon Johnson\JohnKe06,DET,124,111,17.30%,14.80%,118,641,610,3,1
Saquon Barkley*\BarkSa00,NYG,123,43,2.90%,-4.50%,261,"1,307","1,121",11,0
James Conner*\ConnJa00,PIT,100,136,2.40%,6.40%,215,972,944,12,3
Frank Gore\GoreFr00,MIA,87,70,5.80%,3.00%,156,722,661,0,1
Nick Chubb\ChubNi00,CLE,80,128,1.10%,6.90%,192,996,841,8,0
Mike Davis\DaviMi01,SEA,78,114,8.70%,16.60%,112,514,519,4,0
Mark Ingram\IngrMa01,NO,71,93,2.80%,6.50%,138,645,648,6,2
Matt Breida\BreiMa00,SF,60,97,1.50%,7.80%,153,814,603,3,1
Kenyan Drake\DrakKe00,MIA,58,21,4.70%,-3.80%,120,535,474,4,2
Austin Ekeler\EkelAu00,LAC,58,72,4.70%,7.90%,106,554,472,3,0
Sony Michel\MichSo00,NE,58,100,-2.70%,1.60%,209,933,939,6,1
Jamaal Williams\WillJa06,GB,51,25,1.70%,-3.50%,121,464,513,3,0
Isaiah Crowell\CrowIs00,NYJ,37,26,-1.80%,-3.90%,143,685,526,7,0
Lamar Miller*\MillLa01,HOU,28,45,-5.30%,-3.20%,210,973,765,5,0
Latavius Murray\MurrLa00,MIN,25,16,-4.30%,-5.80%,140,578,531,6,0
Adrian Peterson\PeteAd01,WAS,24,-14,-6.20%,-10.00%,251,"1,042",915,7,2
Tevin Coleman\ColeTe01,ATL,15,8,-6.40%,-7.50%,167,800,602,4,1
Royce Freeman\FreeRo00,DEN,9,28,-7.00%,-3.60%,130,521,502,5,1
Alex Collins\CollAl00,BAL,-4,-13,-9.40%,-11.30%,114,418,386,7,3
Leonard Fournette\FourLe00,JAX,-4,-5,-9.30%,-9.40%,133,439,491,6,0
Josh Adams\AdamJo03,PHI,-13,-16,-11.20%,-11.70%,120,511,421,3,1
T.J. Yeldon\YeldT.00,JAX,-17,-22,-12.50%,-13.80%,104,414,341,1,1
Carlos Hyde\HydeCa00,2TM,-18,-94,-11.00%,-21.50%,172,588,601,5,2
Chris Ivory\IvorCh00,BUF,-26,-46,-14.20%,-18.40%,115,385,359,1,1
