Player,Team,DYAR,YAR,DVOA,VOA,Passes,Yards,EYds,TD,Catch Rate,FUM
Danny Woodhead\WoodDa02,SD,235,229,25.80%,24.90%,108,761,909,6,76%,0
Theo Riddick\RiddTh00,DET,201,199,24.60%,24.20%,99,697,788,3,81%,0
Charles Sims\SimsCh00,TB,150,173,29.20%,35.70%,70,571,558,4,73%,1
James White\WhitJa02,NE,140,129,33.30%,29.60%,54,410,500,4,74%,0
Marcel Reece\ReecMa00,OAK,127,116,42.30%,37.20%,37,269,425,3,81%,0
David Johnson\JohnDa08,ARI,120,117,22.10%,21.20%,57,457,485,4,63%,1
Matt Forte\FortMa00,CHI,112,94,23.50%,17.80%,58,389,444,3,76%,1
DeAngelo Williams\WillDe02,PIT,109,81,30.50%,19.00%,47,367,402,0,85%,0
Shane Vereen\VereSh00,NYG,103,96,8.40%,6.90%,81,498,542,4,73%,1
James Starks\StarJa00,GB,97,86,17.30%,13.70%,53,392,425,3,81%,1
Joique Bell\BellJo01,DET,97,111,49.30%,58.50%,27,286,310,0,81%,0
Giovani Bernard\BernGi00,CIN,97,87,14.60%,11.80%,66,472,443,0,74%,1
Arian Foster\FostAr00,HOU,80,93,35.00%,42.40%,28,227,284,2,79%,0
Dion Lewis\LewiDi00,NE,78,84,14.70%,16.90%,50,388,357,2,72%,2
Fred Jackson\JackFr02,SEA,76,76,20.30%,20.00%,41,257,317,2,78%,1
Matt Jones\JoneMa04,WAS,75,82,38.90%,43.60%,25,304,258,1,76%,1
Kyle Juszczyk\JuszKy00,BAL,72,53,7.00%,1.50%,56,321,396,4,73%,0
Duke Johnson\JohnDu00,CLE,68,55,2.30%,-0.90%,74,534,441,2,82%,1
Devonta Freeman*\FreeDe00,ATL,68,86,-1.20%,2.20%,97,578,523,3,75%,1
Benny Cunningham\CunnBe01,STL,67,52,28.30%,19.30%,36,250,250,0,72%,0
Mark Ingram\IngrMa01,NO,59,63,4.00%,4.90%,60,408,361,0,83%,1
Darren McFadden\McFaDa00,DAL,56,37,6.90%,-0.10%,53,328,310,0,75%,0
T.J. Yeldon\YeldT.00,JAC,52,45,5.70%,2.90%,46,279,300,1,78%,0
Bilal Powell\PoweBi00,NYJ,36,39,-3.30%,-2.20%,63,388,317,2,75%,1
Lamar Miller\MillLa01,MIA,32,42,-3.60%,-0.30%,57,397,288,2,82%,0
LeSean McCoy*\McCoLe01,BUF,30,28,-2.00%,-2.80%,50,295,243,2,64%,1
Rashad Jennings\JennRa00,NYG,29,36,-0.90%,1.90%,40,296,222,1,73%,1
Jerick McKinnon\McKiJe00,MIN,27,23,2.40%,0.30%,29,173,175,1,72%,0
Javorius Allen\AlleJa01,BAL,27,40,-6.20%,-2.10%,62,343,302,2,73%,0
Brandon Bolden\BoldBr00,NE,26,11,2.20%,-7.00%,30,180,170,2,63%,0
Todd Gurley*\GurlTo01,STL,25,34,2.10%,7.80%,26,188,162,0,81%,0
Chris Ivory*\IvorCh00,NYJ,21,20,-4.30%,-4.70%,37,217,197,1,81%,1
Eddie Lacy\LacyEd00,GB,20,14,-0.60%,-4.90%,28,188,150,2,71%,1
Jeremy Langford\LangJe00,CHI,16,-3,-6.60%,-15.10%,42,279,188,1,52%,0
DeMarco Murray\MurrDe00,PHI,13,43,-9.30%,0.90%,55,322,235,1,80%,0
Doug Martin*+\MartDo00,TB,11,14,-8.90%,-7.40%,44,271,182,1,75%,1
Damien Williams\WillDa05,MIA,10,15,-7.40%,-4.30%,28,142,135,1,75%,0
Antonio Andrews\AndrAn00,TEN,10,5,-7.50%,-10.30%,29,174,131,0,72%,0
Denard Robinson\RobiDe00,JAC,9,24,-8.60%,0.60%,30,164,135,0,70%,0
Ameer Abdullah\AbduAm00,DET,6,0,-11.30%,-13.70%,38,183,173,1,66%,0
Dexter McCluster\McClDe00,TEN,5,14,-11.50%,-7.00%,41,261,163,1,76%,1
Jamaal Charles\CharJa00,KC,3,2,-12.10%,-12.80%,30,180,126,1,70%,1
C.J. Spiller\SpilC.00,NO,2,0,-12.90%,-13.80%,44,239,177,2,77%,0
Jonathan Grimes\GrimJo01,HOU,1,12,-13.30%,-6.70%,31,173,126,1,84%,0
Melvin Gordon\GordMe00,SD,-5,-15,-16.10%,-21.10%,37,192,137,0,89%,1
Chris Thompson\ThomCh03,WAS,-5,9,-15.60%,-10.30%,48,240,177,2,73%,1
Adrian Peterson*+\PeteAd01,MIN,-5,-24,-16.30%,-26.00%,36,222,133,0,83%,1
Le'Veon Bell\BellLe00,PIT,-10,-12,-21.30%,-23.20%,26,136,75,0,92%,0
Ryan Mathews\MathRy00,PHI,-11,-4,-22.20%,-16.50%,28,146,72,1,71%,0
