Player,Team,DYAR,YAR,DVOA,VOA,QBR,Pass,Yards,EYds,TD,FK,FL,INT,C%,DPI,ALEX
Patrick Mahomes\MahoPa00,KC,"2,039","1,908",40.10%,36.80%,81.6,607,"4,910","5,980",50,3,2,11,66.40%,7/107,4.5
Drew Brees\BreeDr00,NO,"1,632","1,681",36.80%,38.20%,80.8,506,"3,854","4,964",32,1,1,5,74.60%,13/201,0.1
Philip Rivers\RivePh00,LAC,"1,321","1,219",27.30%,24.40%,70.2,540,"4,104","4,561",32,0,1,12,68.30%,24-Feb,1.7
Matt Ryan\RyanMa00,ATL,"1,233","1,355",18.20%,21.10%,68.2,649,"4,638","5,064",35,4,5,7,69.60%,9/203,0.7
Ben Roethlisberger\RoetBe00,PIT,"1,208","1,075",14.60%,11.80%,71.8,696,"4,944","5,424",34,1,2,16,67.40%,9/152,1.4
Jared Goff\GoffJa00,LAR,"1,092","1,086",16.40%,16.30%,66.4,594,"4,445","4,678",32,5,5,10,65.20%,7/142,-0.3
Andrew Luck\LuckAn00,IND,"1,072","1,156",13.40%,15.30%,71.7,656,"4,430","4,985",39,3,1,15,67.70%,10/169,0
Tom Brady\BradTo00,NE,"1,034","1,054",15.40%,15.90%,70.6,589,"4,197","4,546",29,2,2,11,66.10%,8/167,2.8
Aaron Rodgers\RodgAa00,GB,821,699,8.20%,5.30%,60.6,644,"4,032","4,539",25,1,3,2,62.90%,9/151,4.4
Deshaun Watson\WatsDe00,HOU,742,725,9.60%,9.10%,63.8,562,"3,779","3,895",26,5,2,9,69.10%,6/149,-0.3
Russell Wilson\WilsRu00,SEA,679,640,11.60%,10.20%,65.6,471,"3,090","3,326",35,4,2,6,66.80%,10/205,2.8
Baker Mayfield\MayfBa00,CLE,630,613,8.10%,7.60%,53.9,509,"3,549","3,488",27,1,3,14,64.20%,4/100,1.7
Kirk Cousins\CousKi00,MIN,596,576,2.70%,2.20%,62,646,"3,988","4,283",30,2,6,10,70.50%,Jul-69,1
