Player,Team,Salary Cap Value,Cash Spent
Jason Witten*\WittJa00,Cowboys,12262000,7400000
Greg Olsen\OlseGr00,Panthers,12100000,6750000
Jimmy Graham*\GrahJi00,Seahawks,10000000,10000000
Charles Clay\ClayCh00,Bills,9000000,4500000
Jack Doyle*\DoylJa00,Colts,8000000,7968750
Coby Fleener\FleeCo00,Saints,7500000,5900000
Kyle Rudolph*\RudoKy00,Vikings,6800000,5500000
Rob Gronkowski*+\GronRo00,Patriots,6687500,10187500
C.J. Fiedorowicz\FiedC.00,Texans,6397826,5253250
Jordan Reed\ReedJo02,Redskins,5737500,3843750
Julius Thomas\ThomJu00,Dolphins,5600000,5600000
Antonio Gates\GateAn00,Chargers,5437500,5000000
Travis Kelce*\KelcTr00,Chiefs,5418400,3450000
Dion Sims\SimsDi00,Bears,5333333,6000000
Delanie Walker*\WalkHu00,Titans,5333333,4500000
Jared Cook\CookJa02,Raiders,5300000,5675000
Dwayne Allen\AlleDw00,Patriots,4937500,5000000
Tyler Eifert,Bengals,4782000,4782000
Marcedes Lewis\LewiMa00,Jaguars,4250000,4500000
Brent Celek\CeleBr00,Eagles,4000000,3000000
Eric Ebron\EbroEr00,Lions,3897455,2090337
Jermaine Gresham\GresJe00,Cardinals,3750000,9000000
Ryan Griffin\GrifRy00,Texans,3500000,3442750
Vernon Davis\DaviVe00,Redskins,3333333,6000000
Virgil Green\GreeVi00,Broncos,3300000,2800000
Zach Ertz*\ErtzZa00,Eagles,3020000,4100000
James Hanna,Cowboys,3000000,2250000
Anthony Fasano\FasaAn00,Dolphins,2750000,2750000
Trey Burton\BurtTr01,Eagles,2746000,2746000
Ed Dickson\DickEd00,Panthers,2716668,2050000
Zach Miller\MillZa02,Bears,2625000,2000000
Vance McDonald\McDoVa00,Steelers,2615625,2850000
Josh Hill\HillJo02,Saints,2595833,1850000
Garrett Celek\CeleGa00,49ers,2575000,1950000
Levine Toilolo\ToilLe00,Falcons,2500000,4500000
Ryan Hewitt,Bengals,2275000,1881250
Lee Smith\SmitLe00,Raiders,2250000,2250000
Rhett Ellison\ElliRh00,Giants,2250000,6000000
Ben Watson\WatsBe00,Ravens,2250000,1250000
Niles Paul\PaulNi00,Redskins,2208334,2000000
O.J. Howard\HowaO.00,Buccaneers,2017246,6673984
Mychal Rivera,Jaguars,1953125,1703125
Evan Engram\EngrEv00,Giants,1948826,6400304
Michael Hoomanawanui\HoomMi00,Saints,1933333,1600000
Richard Rodgers\RodgRi00,Packers,1923504,1797000
Luke Willson\WillLu00,Seahawks,1800000,1800000
Lance Kendricks\KendLa00,Packers,1775000,2375000
David Njoku\NjokDa00,Browns,1731881,5532524
Demetrius Harris\HarrDe03,Chiefs,1550000,1350000
Hunter Henry\HenrHu00,Chargers,1450070,740014
Troy Niklas\NiklTr00,Cardinals,1280140,968631
Phillip Supernaw,Titans,1200000,1500000
Maxx Williams\WillMa04,Ravens,1105291,803430
Gerald Everett\EverGe00,Rams,1098990,3000960
Adam Shaheen\ShahAd00,Bears,1074639,2903556
Austin Seferian-Jenkins\SefeAu00,Jets,1011690,1011690
Derek Carrier\CarrDe00,Rams,1000000,1075000
Darren Fells\FellDa01,Lions,975000,1000000
MarQueis Gray,Dolphins,925000,825000
Clive Walford\WalfCl00,Raiders,909272,710646
Crockett Gillmore,Ravens,821504,695000
Tyler Kroft\KrofTy00,Bengals,799944,638000
Jeff Heuerman\HeueJe00,Broncos,785201,630000
Austin Hooper\HoopAu00,Falcons,752881,566000
Logan Thomas,Bills,752500,715000
Nick Vannett\VannNi00,Seahawks,726220,562000
Martellus Bennett\BennMa00,Patriots,723529,723529
Asante Cleveland,Chargers,690000,690000
Cameron Brate\BratCa00,Buccaneers,690000,690000
Tyler Higbee\HigbTy00,Rams,685215,540000
CJ Uzomah,Bengals,668191,615000
Jesse James\JameJe00,Steelers,667228,615000
Nick Boyle\BoylNi00,Ravens,650451,615000
Jonnu Smith\SmitJo01,Titans,641572,1171288
Seth Devalve\DevaSe00,Browns,635848,540000
Geoff Swaim,Cowboys,628683,615000
Blake Bell,Vikings,615000,615000
James O'Shaughnessy\O'ShJa00,Jaguars,615000,615000
Daniel Brown\BrowDa04,Bears,615000,615000
Khari Lee,Bills,615000,615000
Sean McGrath,Chargers,615000,615000
Nick O'Leary\OLeaNi00,Bills,615000,615000
Clay Harbor,Saints,615000,900000
Brandon Williams\WillBr04,Colts,615000,775000
Michael Roberts,Lions,614811,1064244
Jerell Adams\AdamJe01,Giants,575714,540000
David Morgan\MorgDa01,Vikings,573864,540000
Randall Telfer,Browns,569384,540000
Stephen Anderson\AndeSt01,Texans,541666,540000
Vince Mayle,Ravens,540000,540000
Erik Swoope,Colts,540000,540000
Chris Manhertz,Panthers,540000,540000
Ben Koyack,Jaguars,540000,540000
Xavier Grimble,Steelers,540000,540000
Eric Tomlinson\TomlEr01,Jets,540000,540000
George Kittle\KittGe00,49ers,539574,763296
Jeremy Sprinkle,Redskins,534129,741516
Eric Saubert,Falcons,521850,692400
Jordan Leggett,Jets,473572,685111
Antony Auclair,Buccaneers,471666,485000
Sean Culkin,Chargers,469000,477000
Jacob Hollister\HollJa03,Patriots,468333,475000
Darrell Daniels\DaniDa02,Colts,468333,475000
Cethan Carter,Bengals,467000,471000
Trey Edmunds,Saints,465000,465000
Ifeanyi Momah,Cardinals,460941,460941
Jake Butt,Broncos,423237,648948
Chris Gragg,Jets,418000,418000
Scott Simonson,Panthers,418000,418000
Ricky Seals-Jones\SealRi00,Cardinals,410294,410294
Temarrick Hemingway,Rams,402896,363000
Logan Paulsen,49ers,364706,364706
Rico Gathers,Cowboys,364666,398000
Mason Schreck,Bengals,364071,412284
Keith Towbridge,Bills,350500,355500
Billy Brown,Eagles,340000,340000
Matt Lengel,Browns,317647,317647
Jeff Cumberland,Chargers,289412,364706
Blake Jarwin,Cowboys,282395,300129
Cole Hikutini,49ers,273176,273176
Ben Braunecker,Bears,254118,254118
Orson Charles,Chiefs,202941,202941
Austin Traylor\TrayAu00,Broncos,191471,191471
Luke Stocker,Titans,182353,182353
A.J. Derby\DerbA.00,Dolphins,180882,180882
Jason Vander Laan,Colts,164118,164118
Ross Travis\TravRo00,Colts,158824,158824
Garrett Griffin,Saints,136765,136765
Jason Croom,Bills,134859,134859
Tim Semisch,Titans,129200,129200
Joshua Perkins,Falcons,122400,122400
Alex Gray,Falcons,122400,122400
Jake McGee,Steelers,122400,122400
David Grinnage,Jaguars,122400,122400
MyCole Pruitt,Texans,116824,116824
Anthony Denham,Cardinals,100800,100800
Will Tye,Patriots,100400,100400
Gabe Holmes,Cardinals,95294,95294
Mo Alie-Cox,Colts,93600,93600
Matt LaCosse,Broncos,82059,82059
Cole Wick,49ers,79200,79200
Evan Baylis,Panthers,64800,64800
Thomas Duarte,Dolphins,63529,63529
Scott Orndoff,Bengals,57600,57600
Ryan Malleck,Texans,54706,54706
Pharaoh Brown,Raiders,54706,54706
Brian Parker,Broncos,50400,50400
Johnny Mundt,Rams,43200,43200
Braedon Bowman,Chargers,36000,36000
Alex Ellis,Saints,36000,36000
Ryan O'Malley,Giants,31765,31765
Hakeem Valles,Lions,31765,31765
Colin Thompson,Bears,28800,28800
Robert Tonyan,Packers,28800,28800
Tyrone Swoopes,Seahawks,27353,27353
Lance Lenoir,Cowboys,27353,27353
Manasseh Garner,Redskins,27353,27353
Emanuel Byrd,Packers,27353,27353
Darren Waller,Ravens,26141,0
Dillon Gordon,Chiefs,21600,21600
Trent Taylor\TaylTr02,Panthers,21600,21600
Zach Conque,Texans,14400,14400
Brandon Barnes,Lions,10000,10000
Henry Krieger-Coble,Rams,7200,7200
D.J. Tialavea,Bears,7200,7200
Jevoni Robinson,Texans,7200,7200
Brian Parker,Broncos,0,0
DeAndre Goolsby,Jaguars,0,0
John Phillips,Saints,0,0
Erik Swoope,Colts,0,0
