Player,Team,Salary Cap Value,Cash Spent
Michael Gallup\GallMi00,Cowboys,702495,1369980
Tajae Sharpe\SharTa00,Titans,698721,630000
Aldrick Robinson\RobiAl00,Vikings,697059,697059
Jordan Matthews\MattJo00,Eagles,697059,697059
Trevor Davis,Packers,686794,630000
Tre'Quan Smith\SmitTr03,Saints,684256,1297024
Jakeem Grant\GranJa00,Dolphins,665095,630000
Keke Coutee\CoutKe00,Texans,662257,1209028
Cody Core\CoreCo00,Bengals,661983,630000
Antonio Callaway\CallAn00,Browns,659464,1197856
Mike Thomas,Rams,659017,630000
DaeSean Hamilton\HamiDa01,Broncos,650660,1162640
Charone Peake\PeakCh00,Jets,647095,630000
Robby Anderson\AndeRo04,Jets,633334,630000
Tommylee Lewis\LewiTo00,Saints,631668,630000
Geronimo Allison\AlliGe01,Packers,630000,630000
Darius Jennings\JennDa00,Titans,630000,630000
Rashard Higgins\HiggRa00,Browns,630000,630000
Chester Rogers\RogeCh02,Colts,630000,630000
J.D. McKissic,Seahawks,630000,630000
Damiere Byrd\ByrdDa00,Panthers,630000,630000
Jordan Taylor,Broncos,630000,630000
Shelton Gibson\GibsSh00,Eagles,619312,555000
Maurice Harris\HarrMa05,Redskins,616059,616059
Trent Taylor\TaylTr02,49ers,605487,555000
Josh Gordon\GordJo02,Patriots,604119,604119
Dez Bryant,Saints,600000,600000
J'Mon Moore\MoorJM00,Packers,593089,932356
Kendrick Bourne\BourKe00,49ers,556666,555000
Keelan Cole\ColeKe00,Jaguars,556333,555000
Michael Floyd\FloyMi00,Redskins,555882,697059
Justin Watson\WatsJu01,Buccaneers,555434,781736
Justin Hardee\HardJu01,Saints,555000,555000
Austin Carr\CarrAu00,Saints,555000,555000
Marvin Hall\HallMa02,Falcons,555000,555000
Ryan Switzer\SwitRy00,Steelers,555000,555000
David Moore\MoorDa03,Seahawks,555000,555000
De'Anthony Thomas\ThomDe05,Chiefs,552706,645647
Jordan Lasley,Ravens,547169,748676
Mack Hollins,Eagles,536917,378000
Marquez Valdes-Scantling\ValdMa00,Packers,534389,697556
Damion Ratley\RatlDa00,Browns,528467,673868
JoJo Natson,Rams,522353,522353
Ray-Ray McCloud\McClRa00,Bills,519956,639824
Russell Gage\GageRu00,Falcons,519048,636192
Equanimeous St. Brown\St.BEq00,Packers,509602,598408
Jaleel Scott,Ravens,508095,943380
Javon Wims\WimsJa00,Bears,503978,575912
Richie James\JameRi00,49ers,499143,556572
Breshad Perriman\PerrBr02,Browns,497647,497647
Brandon Powell\PoweBr00,Lions,484000,492000
Trent Sherfield\SherTr00,Cardinals,483333,490000
Vyncint Smith\SmitVy00,Texans,483333,490000
Brandon Zylstra\ZylsBr00,Vikings,480000,480000
Dan Arnold\ArnoDa00,Saints,480000,480000
Marcus Kemp\KempMa00,Chiefs,480000,480000
Quincy Adeboyejo,Ravens,480000,480000
Zach Pascal\PascZa00,Colts,480000,480000
Tim Patrick\PatrTi00,Broncos,480000,480000
Noah Brown\BrowNo00,Cowboys,479282,461294
Bennie Fowler\FowlBe00,Giants,456176,456176
Rashad Greene\GreeRa00,Jaguars,456176,456176
Jaydon Mickens,Jaguars,440470,440470
Rishard Matthews\MattRi00,Jets,425647,425647
KhaDarel Hodge\HodgKh00,Rams,423529,423529
Amari Cooper\CoopAm00,Cowboys,411765,411765
Eli Rogers\RogeEl00,Steelers,411706,411706
Dontrelle Inman\InmaDo00,Colts,407647,511176
Trey Quinn\QuinTr00,Redskins,400915,452719
Derrick Willies\WillDe06,Browns,397745,399912
Jake Kumerow\KumeJa00,Packers,397412,397412
James Wright,Colts,393000,393000
Rod Streater,Browns,392945,482235
Braxton Berrios,Patriots,392602,481408
Cedrick Wilson,Cowboys,392602,481408
Deon Cain,Colts,389409,528636
Jawill Davis\DaviJa07,Giants,388412,388412
Robert Davis,Redskins,378000,378000
Bruce Ellington\ElliBr00,Lions,373235,373235
Corey Coleman\ColeCo00,Giants,370588,370588
Leonte Carroo\CarrLe00,Dolphins,370588,370588
Cam Sims,Redskins,369882,369882
Byron Pringle,Chiefs,368000,378000
Sergio Bailey,Buccaneers,363333,364000
Artavis Scott,Chargers,363000,363000
Cody Hollister,Patriots,363000,363000
Travin Dural,Saints,363000,363000
Jehu Chesson\ChesJe00,Redskins,359118,359118
Kelvin Benjamin\BenjKe00,Chiefs,352941,352941
Cameron Batson\BatsCa00,Titans,338824,338824
Brice Butler\ButlBr00,Dolphins,325294,325294
Deonte Thompson\ThomDe04,Bills,325294,325294
Deontay Burnett\BurnDe00,Jets,310588,310588
Marcell Ateman\AtemMa00,Raiders,282353,282353
Isaiah McKenzie\McKeIs00,Bills,261176,261176
Chad Beebe\BeebCh00,Vikings,254118,254118
River Cracraft\CracRi00,Broncos,254118,254118
Andre Holmes\HolmAn00,Broncos,235294,235294
