Rk,Player,Year,Age,Draft,Tm,Lg,G,GS,Yrs,PB,AP1,AV
1,Lamar Jackson\JackLa00,2019,22,1-32,BAL,NFL,15,15,1,1,1,25
2,Stephon Gilmore\GilmSt00,2019,29,1-10,NWE,NFL,16,16,1,1,1,21
3,Marcus Peters\PeteMa00,2019,26,1-18,2TM,NFL,16,15,1,1,1,21
4,Minkah Fitzpatrick\FitzMi00,2019,23,1-11,2TM,NFL,16,16,1,1,1,19
5,Ronnie Stanley\StanRo00,2019,25,1-6,BAL,NFL,14,14,1,1,1,18
6,Michael Thomas\ThomMi05,2019,26,2-47,NOR,NFL,16,15,1,1,1,18
7,Tre'Davious White\WhitTr01,2019,24,1-27,BUF,NFL,15,15,1,1,1,18
8,Cameron Heyward\HeywCa01,2019,30,1-31,PIT,NFL,16,16,1,1,1,17
9,Dont'a Hightower\HighDo01,2019,29,1-25,NWE,NFL,15,15,1,1,0,17
10,Patrick Mahomes\MahoPa00,2019,24,1-10,KAN,NFL,14,14,1,1,0,17
11,Dak Prescott\PresDa01,2019,26,4-135,DAL,NFL,16,16,1,0,0,16
12,Ryan Ramczyk\RamcRy00,2019,25,1-32,NOR,NFL,16,16,1,0,1,16
13,Mitchell Schwartz\SchwMi00,2019,30,2-37,KAN,NFL,16,16,1,0,0,16
14,Deshaun Watson\WatsDe00,2019,24,1-12,HOU,NFL,15,15,1,1,0,16
15,DeForest Buckner\BuckDe00,2019,25,1-7,SFO,NFL,16,16,1,0,0,15
16,Jamie Collins\CollJa00,2019,30,2-52,NWE,NFL,16,15,1,0,0,15
17,Jimmy Garoppolo\GaroJi00,2019,28,2-62,SFO,NFL,16,16,1,0,0,15
18,Zack Martin\MartZa00,2019,29,1-16,DAL,NFL,16,16,1,1,1,15
19,Christian McCaffrey\McCaCh01,2019,23,1-8,CAR,NFL,16,16,1,1,1,15
20,Russell Wilson\WilsRu00,2019,31,3-75,SEA,NFL,16,16,1,1,0,15
21,Jameis Winston\WinsJa00,2019,25,1-1,TAM,NFL,16,16,1,0,0,15
22,David Bakhtiari\BakhDa00,2019,28,4-109,GNB,NFL,16,16,1,1,0,14
23,Orlando Brown\BrowOr00,2019,23,3-83,BAL,NFL,16,16,1,1,0,14
24,Dalvin Cook\CookDa01,2019,24,2-41,MIN,NFL,14,14,1,1,0,14
25,Kirk Cousins\CousKi00,2019,31,4-102,MIN,NFL,15,15,1,1,0,14
26,Demario Davis\DaviDe00,2019,30,3-77,NOR,NFL,16,16,1,0,1,14
27,Aaron Donald\DonaAa00,2019,28,1-13,LAR,NFL,16,16,1,1,1,14
28,Tremaine Edmunds\EdmuTr01,2019,21,1-16,BUF,NFL,16,16,1,1,0,14
29,Lawrence Guy\GuyxLa00,2019,29,7-233,NWE,NFL,16,16,1,0,0,14
30,Eric Kendricks\KendEr00,2019,27,2-45,MIN,NFL,15,15,1,1,1,14
31,Kyler Murray\MurrKy00,2019,22,1-1,ARI,NFL,16,16,1,0,0,14
32,Quenton Nelson\NelsQu00,2019,23,1-6,IND,NFL,16,16,1,1,1,14
33,Aaron Rodgers\RodgAa00,2019,36,1-24,GNB,NFL,16,16,1,1,0,14
34,Bobby Wagner\WagnBo00,2019,29,2-47,SEA,NFL,16,16,1,1,1,14
35,T.J. Watt\WattT.00,2019,25,1-30,PIT,NFL,16,16,1,1,1,14
36,Marshal Yanda\YandMa20,2019,35,3-86,BAL,NFL,15,15,1,1,0,14
37,Jamal Adams\AdamJa00,2019,24,1-6,NYJ,NFL,14,14,1,1,1,13
38,Marlon Humphrey\HumpMa00,2019,23,1-16,BAL,NFL,16,15,1,1,1,13
39,Cameron Jordan\JordCa00,2019,30,1-24,NOR,NFL,16,16,1,1,0,13
40,Jason Kelce\KelcJa00,2019,32,6-191,PHI,NFL,16,16,1,1,1,13
41,Travis Kelce\KelcTr00,2019,30,3-63,KAN,NFL,16,16,1,1,0,13
42,Philip Rivers\RivePh00,2019,38,1-4,LAC,NFL,16,16,1,0,0,13
43,Matt Ryan\RyanMa00,2019,34,1-3,ATL,NFL,15,15,1,0,0,13
44,Kyle Van Noy\VanNKy00,2019,28,2-40,NWE,NFL,15,15,1,0,0,13
45,Mark Andrews\AndrMa00,2019,23,3-86,BAL,NFL,15,4,1,1,0,12
46,Shaquil Barrett\BarrSh00,2019,27,,TAM,NFL,16,16,1,1,0,12
47,Nick Chubb\ChubNi00,2019,24,2-35,CLE,NFL,16,16,1,1,0,12
48,Kenny Clark\ClarKe01,2019,24,1-27,GNB,NFL,16,16,1,1,0,12
49,Stefon Diggs\DiggSt00,2019,26,5-146,MIN,NFL,15,15,1,0,0,12
50,Ezekiel Elliott\ElliEz00,2019,24,1-4,DAL,NFL,16,16,1,1,0,12
51,Jared Goff\GoffJa00,2019,25,1-1,LAR,NFL,16,16,1,0,0,12
52,Derrick Henry\HenrDe00,2019,25,2-45,TEN,NFL,15,15,1,1,0,12
53,Danielle Hunter\HuntDa01,2019,25,3-88,MIN,NFL,16,16,1,1,0,12
54,Mark Ingram\IngrMa01,2019,30,1-28,BAL,NFL,15,15,1,1,0,12
55,Grady Jarrett\JarrGr00,2019,26,5-137,ATL,NFL,16,16,1,1,0,12
56,Aaron Jones\JoneAa00,2019,25,5-182,GNB,NFL,16,16,1,0,0,12
57,Chandler Jones\JoneCh03,2019,29,1-21,ARI,NFL,16,16,1,1,1,12
58,Matt Judon\JudoMa00,2019,27,5-146,BAL,NFL,16,16,1,1,0,12
59,Alvin Kamara\KamaAl00,2019,24,3-67,NOR,NFL,14,9,1,1,0,12
60,Darius Leonard\LeonDa00,2019,24,2-36,IND,NFL,13,13,1,1,0,12
61,Trent Murphy\MurpTr00,2019,29,2-47,BUF,NFL,16,16,1,0,0,12
62,Danny Shelton\ShelDa01,2019,26,1-12,NWE,NFL,16,14,1,0,0,12
63,Richard Sherman\SherRi00,2019,31,5-154,SFO,NFL,15,15,1,1,0,12
64,Justin Simmons\SimmJu00,2019,26,3-98,DEN,NFL,16,16,1,0,0,12
65,Za'Darius Smith\SmitZa00,2019,27,4-122,GNB,NFL,16,16,1,1,0,12
66,Joe Thuney\ThunJo00,2019,27,3-78,NWE,NFL,16,16,1,0,0,12
67,Carson Wentz\WentCa00,2019,27,1-2,PHI,NFL,16,16,1,0,0,12
68,Josh Allen\AlleJo02,2019,23,1-7,BUF,NFL,16,16,1,0,0,11
69,Joey Bosa\BosaJo00,2019,24,1-3,LAC,NFL,16,16,1,1,0,11
70,Nick Bosa\BosaNi00,2019,22,1-2,SFO,NFL,16,14,1,1,0,11
71,Tom Brady\BradTo00,2019,42,6-199,NWE,NFL,16,16,1,0,0,11
72,Drew Brees\BreeDr00,2019,40,2-32,NOR,NFL,11,11,1,1,0,11
73,Jacoby Brissett\BrisJa00,2019,27,3-91,IND,NFL,15,15,1,0,0,11
74,Derek Carr\CarrDe02,2019,28,2-36,OAK,NFL,16,16,1,0,0,11
