Player,Team,DYAR,YAR,DVOA,VOA,Runs,Yards,EYds,TD,FUM
Shane Vereen\VereSh00,NYG,1,14,-7.80%,1.40%,33,158,121,1,1
Jeremy Langford\LangJe00,CHI,-2,-9,-9.30%,-11.80%,62,201,233,4,2
Benny Cunningham\CunnBe01,LARM,-2,-14,-11.40%,-25.40%,21,101,70,0,1
Jonathan Grimes\GrimJo01,HOU,-4,-7,-14.00%,-17.30%,23,105,63,0,0
Theo Riddick\RiddTh00,DET,-5,-1,-9.80%,-8.70%,92,357,310,1,0
Alex Collins\CollAl00,SEA,-6,-8,-13.00%,-14.80%,31,125,103,1,2
Darren McFadden\McFaDa00,DAL,-7,-3,-15.70%,-11.80%,24,87,74,0,0
Corey Grant\GranCo00,JAC,-9,13,-15.00%,0.70%,32,164,104,1,0
Mike Tolbert*\TolbMi00,CAR,-14,-7,-18.60%,-13.40%,35,114,98,0,0
DeAngelo Williams\WillDe02,PIT,-17,25,-12.80%,-2.20%,98,343,312,4,0
Akeem Hunt\HuntAk01,HOU,-17,-22,-32.80%,-39.20%,20,109,33,0,2
Peyton Barber\BarbPe01,TB,-19,11,-17.20%,-3.80%,55,223,161,1,0
Arian Foster\FostAr00,MIA,-24,-42,-33.60%,-53.00%,22,55,43,0,1
Andre Ellington\ElliAn00,ARI,-25,-33,-26.80%,-32.70%,34,96,77,0,0
Denard Robinson\RobiDe00,JAC,-25,0,-24.10%,-8.70%,41,144,97,0,0
DuJuan Harris\HarrDu01,SF,-31,-32,-28.10%,-28.90%,38,144,85,0,1
Jonathan Williams\WillJo07,BUF,-31,-40,-32.90%,-39.80%,27,98,59,1,2
Kenneth Farrow\FarrKe02,SD,-33,-27,-21.10%,-18.80%,60,192,172,0,1
Fozzy Whittaker\WhitFo00,CAR,-34,-7,-24.10%,-12.00%,57,265,131,0,1
Ronnie Hillman\HillRo00,2TM,-36,-18,-31.30%,-19.50%,40,132,79,0,0
Dwayne Washington\WashDw00,DET,-39,-58,-19.30%,-24.60%,90,265,250,1,0
Charles Sims\SimsCh00,TB,-52,-56,-33.60%,-35.90%,51,149,93,1,1
James Starks\StarJa00,GB,-54,-75,-29.60%,-37.70%,62,151,133,0,0
Adrian Peterson\PeteAd01,MIN,-57,-63,-49.10%,-53.20%,37,72,29,0,1
Charcandrick West\WestCh01,KC,-60,-56,-25.50%,-24.30%,88,293,207,1,0
Justin Forsett\ForsJu00,3TM,-103,-103,-37.20%,-37.30%,87,291,142,1,2
