Player,Team,DYAR,YAR,DVOA,VOA,Runs,Yards,EYds,TD,FUM,,,,,,,,,,,,,,,,,
Ka'Deem Carey\CareKa00,CHI,56,34,21.20%,9.80%,43,161,251,2,1,,,,,,,,,,,,,,,,,
Jonathan Grimes\GrimJo01,HOU,54,42,20.00%,13.40%,56,282,251,1,0,,,,,,,,,,,,,,,,,
Mike Gillislee\GillMi00,BUF,54,20,20.90%,2.60%,47,267,246,3,1,,,,,,,,,,,,,,,,,
Mike Tolbert*+\TolbMi00,CAR,54,53,9.80%,9.70%,62,256,339,1,0,,,,,,,,,,,,,,,,,
Christine Michael\MichCh00,2TM,51,29,13.20%,3.70%,54,243,285,0,0,,,,,,,,,,,,,,,,,
Jerick McKinnon\McKiJe00,MIN,50,61,15.30%,20.80%,52,271,260,2,0,,,,,,,,,,,,,,,,,
Robert Turbin\TurbRo00,2TM,45,32,13.50%,7.10%,50,199,249,1,0,,,,,,,,,,,,,,,,,
Jamize Olawale\OlawJa00,OAK,44,44,33.50%,34.00%,24,110,160,1,0,,,,,,,,,,,,,,,,,
Kenjon Barner\BarnKe00,PHI,30,22,18.30%,10.70%,28,124,145,0,1,,,,,,,,,,,,,,,,,
Khiry Robinson\RobiKh00,NO,29,24,3.00%,1.20%,56,180,257,4,0,,,,,,,,,,,,,,,,,
Orleans Darkwa\DarkOr00,NYG,27,17,7.70%,1.60%,37,153,187,1,0,,,,,,,,,,,,,,,,,
Branden Oliver\OlivBr01,SD,27,23,10.10%,7.10%,31,108,169,0,0,,,,,,,,,,,,,,,,,
Fred Jackson\JackFr02,SEA,25,16,17.90%,8.80%,26,100,120,0,0,,,,,,,,,,,,,,,,,
Bilal Powell\PoweBi00,NYJ,25,48,1.00%,10.30%,70,313,261,1,1,,,,,,,,,,,,,,,,,
Chris Thompson\ThomCh03,WAS,22,25,8.00%,10.10%,35,216,150,0,1,,,,,,,,,,,,,,,,,
Donald Brown\BrowDo00,SD,21,-3,0.30%,-9.90%,59,229,242,1,0,,,,,,,,,,,,,,,,,
Joseph Randle\RandJo01,DAL,16,43,-3.50%,5.50%,76,315,288,4,1,,,,,,,,,,,,,,,,,
Bryce Brown\BrowBr02,SEA,15,-1,5.00%,-9.20%,26,72,122,1,0,,,,,,,,,,,,,,,,,
Danny Woodhead\WoodDa02,SD,13,14,-5.50%,-5.40%,96,330,388,3,0,,,,,,,,,,,,,,,,,
Bishop Sankey\SankBi00,TEN,12,18,-1.50%,1.60%,47,193,167,1,1,,,,,,,,,,,,,,,,,
Steven Jackson\JackSt00,NE,11,3,2.80%,-5.60%,21,50,105,1,0,,,,,,,,,,,,,,,,,
Fozzy Whittaker\WhitFo00,CAR,11,20,2.00%,10.30%,25,108,111,1,0,,,,,,,,,,,,,,,,,
Shane Vereen\VereSh00,NYG,9,20,-4.80%,0.20%,61,260,214,0,0,,,,,,,,,,,,,,,,,
Jonas Gray\GrayJo00,2TM,5,14,-5.80%,-1.20%,45,176,173,0,0,,,,,,,,,,,,,,,,,
Cameron Artis-Payne\ArtiCa00,CAR,-1,-10,-9.20%,-14.10%,45,183,160,1,0,,,,,,,,,,,,,,,,,
Matt Asiata\AsiaMa00,MIN,-3,-1,-11.80%,-9.80%,29,112,87,0,0,,,,,,,,,,,,,,,,,
Terron Ward\WardTe00,ATL,-4,-6,-12.30%,-14.10%,29,95,87,1,0,,,,,,,,,,,,,,,,,
Dwayne Harris\HarrDw00,2TM,-7,-31,-12.40%,-24.40%,48,191,155,0,1,,,,,,,,,,,,,,,,,
Benny Cunningham\CunnBe01,STL,-10,-29,-14.90%,-27.60%,37,140,116,0,1,,,,,,,,,,,,,,,,,
Dexter McCluster\McClDe00,TEN,-12,-1,-14.90%,-9.20%,55,247,140,1,1,,,,,,,,,,,,,,,,,
Tevin Coleman\ColeTe01,ATL,-12,13,-11.90%,-5.10%,87,393,296,1,3,,,,,,,,,,,,,,,,,
James White\WhitJa02,NE,-12,-13,-22.10%,-23.10%,22,56,59,2,0,,,,,,,,,,,,,,,,,
Mike Davis\DaviMi01,SF,-13,-42,-17.30%,-37.10%,35,58,106,1,0,,,,,,,,,,,,,,,,,
Joique Bell\BellJo01,DET,-15,-2,-12.50%,-9.10%,90,311,308,4,1,,,,,,,,,,,,,,,,,
David Cobb\CobbDa00,TEN,-16,-27,-16.40%,-22.10%,52,146,148,1,0,,,,,,,,,,,,,,,,,
Jay Ajayi\AjayJa00,MIA,-17,-3,-17.70%,-10.00%,49,187,130,1,0,,,,,,,,,,,,,,,,,
Zac Stacy\StacZa00,NYJ,-17,-16,-24.00%,-23.00%,31,89,69,1,0,,,,,,,,,,,,,,,,,
Anthony Dixon\DixoAn00,BUF,-18,-18,-26.90%,-26.50%,21,44,55,1,0,,,,,,,,,,,,,,,,,
Dan Herron\HerrDa00,2TM,-19,-13,-26.20%,-21.30%,25,79,61,0,1,,,,,,,,,,,,,,,,,
Kerwynn Williams\WillKe05,ARI,-19,-9,-27.10%,-17.00%,27,142,57,1,1,,,,,,,,,,,,,,,,,
Knile Davis\DaviKn00,KC,-19,-19,-25.70%,-25.60%,28,72,66,1,0,,,,,,,,,,,,,,,,,
