ROUND,PICK,TEAM,PLAYER,POS,AGE,COLLEGE,YRS,TOTAL VALUE,SIGNING BONUS,2018 CAP
1,2,NYG,Saquon Barkley*\BarkSa00,RB,21,Penn State,4,31194751,20767092,5671773
1,27,SEA,Rashaad Penny\PennRa00,RB,22,San Diego State,4,10765438,5909409,1957352
1,31,NE,Sony Michel\MichSo00,RB,23,Georgia,4,9626695,5081233,1750308
2,35,CLE,Nick Chubb\ChubNi00,RB,22,Georgia,4,7383095,3449524,1342381
2,38,TB,Ronald Jones\JoneRo01,RB,20,Southern California,4,7071908,3223206,1285801
2,43,DET,Kerryon Johnson\JohnKe06,RB,20,Auburn,4,6503691,2809957,1168718
2,59,WAS,Derrius Guice,RB,20,Louisiana State,4,4541933,1383224,825806
3,71,DEN,Royce Freeman\FreeRo00,RB,22,Oregon,4,3940020,997020,729255
4,104,IND,Nyheim Hines\HineNy00,RB,21,North Carolina State,4,3184547,724547,661136
4,112,CIN,Mark Walton\WaltMa00,RB,21,Miami,4,3145347,685347,651336
4,126,ATL,Ito Smith\SmitIt00,RB,22,Southern Mississippi,4,3080875,620875,621447
4,131,MIA,Kalen Ballage\BallKa00,RB,22,Arizona State,4,3049181,589181,627295
4,134 (C),ARI,Chase Edmonds\EdmoCh00,RB,22,Fordham,4,2912359,452359,593089
5,165,PIT,Jaylen Samuels\SamuJa00,RB,21,North Carolina State,4,2718066,258066,544516
5,169,IND,Jordan Wilkins\WilkJo01,RB,23,Mississippi,4,2701241,241241,540310
