Rk,Player,Year,Age,Draft,Tm,Lg,G,GS,Yrs,PB,AP1,AV
68,Cameron Heyward\HeywCa01,2018,29,31-Jan,PIT,NFL,16,16,1,1,0,11
69,Kareem Hunt\HuntKa00,2018,23,Mar-86,KAN,NFL,11,11,1,0,0,11
70,Byron Jones\JoneBy00,2018,26,27-Jan,DAL,NFL,16,16,1,1,0,11
71,Demarcus Lawrence\LawrDe00,2018,26,Feb-34,DAL,NFL,16,15,1,1,0,11
72,Charles Leno\LenoCh00,2018,27,7-246,CHI,NFL,16,16,1,1,0,11
73,Alex Mack\MackAl20,2018,33,21-Jan,ATL,NFL,16,16,1,1,0,11
74,Zack Martin\MartZa00,2018,28,16-Jan,DAL,NFL,14,14,1,1,1,11
75,Benardrick McKinney\McKiBe00,2018,26,Feb-43,HOU,NFL,16,16,1,1,0,11
76,Joe Mixon\MixoJo00,2018,22,Feb-48,CIN,NFL,14,13,1,0,0,11
77,Andrus Peat\PeatAn00,2018,25,13-Jan,NOR,NFL,13,13,1,1,0,11
78,Maurkice Pouncey\PounMa20,2018,29,18-Jan,PIT,NFL,16,16,1,1,0,11
79,Telvin Smith\SmitTe01,2018,27,5-144,JAX,NFL,16,16,1,0,0,11
80,JuJu Smith-Schuster\SmitJu00,2018,22,Feb-62,PIT,NFL,16,13,1,1,0,11
81,Adam Thielen\ThieAd00,2018,28,,MIN,NFL,16,16,1,1,0,11
82,Max Unger\UngeMa20,2018,32,Feb-49,NOR,NFL,16,16,1,1,0,11
83,Leighton Vander Esch\VandLe00,2018,22,19-Jan,DAL,NFL,16,11,1,1,0,11
84,Alejandro Villanueva\VillAl00,2018,30,,PIT,NFL,16,16,1,1,0,11
85,T.J. Watt\WattT.00,2018,24,30-Jan,PIT,NFL,16,16,1,1,0,11
86,Kyle Williams\WillKy20,2018,35,5-134,BUF,NFL,16,16,1,1,0,11
87,Davante Adams\AdamDa01,2018,26,Feb-53,GNB,NFL,15,15,1,1,0,10
88,Terron Armstead\ArmsTe00,2018,27,Mar-75,NOR,NFL,10,10,1,1,0,10
89,Joel Bitonio\BitoJo00,2018,27,Feb-35,CLE,NFL,16,16,1,1,0,10
90,Austin Blythe\BlytAu00,2018,26,7-248,LAR,NFL,16,16,1,0,0,10
91,Antonio Brown\BrowAn04,2018,30,6-195,PIT,NFL,15,15,1,1,0,10
92,Trent Brown\BrowTr02,2018,25,7-244,NWE,NFL,16,16,1,0,0,10
93,DeForest Buckner\BuckDe00,2018,24,7-Jan,SFO,NFL,16,16,1,1,0,10
94,Derek Carr\CarrDe02,2018,27,Feb-36,OAK,NFL,16,16,1,0,0,10
95,Chris Carson\CarsCh00,2018,24,7-249,SEA,NFL,14,14,1,0,0,10
96,Frank Clark\ClarFr01,2018,25,Feb-63,SEA,NFL,16,16,1,0,0,10
97,Tarik Cohen\CoheTa00,2018,23,4-119,CHI,NFL,16,7,1,1,1,10
98,James Conner\ConnJa00,2018,23,3-105,PIT,NFL,13,12,1,1,0,10
99,Jesse Davis\DaviJe00,2018,27,,MIA,NFL,16,16,1,0,0,10
100,Myles Jack\JackMy00,2018,23,Feb-36,JAX,NFL,16,16,1,0,0,10
101,Derwin James\JameDe00,2018,22,17-Jan,LAC,NFL,16,16,1,1,1,10
102,Lane Johnson\JohnLa01,2018,28,4-Jan,PHI,NFL,15,15,1,1,0,10
103,Chris Jones\JoneCh09,2018,24,Feb-37,KAN,NFL,16,11,1,0,0,10
104,Ryan Kerrigan\KerrRy00,2018,30,16-Jan,WAS,NFL,16,16,1,1,0,10
105,George Kittle\KittGe00,2018,25,5-146,SFO,NFL,16,16,1,1,0,10
106,Taylor Lewan\LewaTa00,2018,27,11-Jan,TEN,NFL,15,15,1,1,0,10
107,Tyler Lockett\LockTy00,2018,26,Mar-69,SEA,NFL,16,14,1,0,0,10
108,Baker Mayfield\MayfBa00,2018,23,1-Jan,CLE,NFL,14,13,1,0,0,10
109,Taylor Moton\MotoTa00,2018,24,Feb-64,CAR,NFL,16,16,1,0,0,10
110,Mike Pouncey\PounMi00,2018,29,15-Jan,LAC,NFL,16,16,1,1,0,10
111,Jalen Ramsey\RamsJa00,2018,24,5-Jan,JAX,NFL,16,16,1,1,0,10
112,Rodger Saffold\SaffRo20,2018,30,Feb-33,LAR,NFL,16,16,1,0,0,10
113,Donovan Smith\SmitDo02,2018,25,Feb-34,TAM,NFL,16,16,1,0,0,10
114,Matthew Stafford\StafMa00,2018,30,1-Jan,DET,NFL,16,16,1,0,0,10
115,Terrell Suggs\SuggTe99,2018,36,10-Jan,BAL,NFL,16,16,1,0,0,10
116,John Sullivan\SullJo24,2018,33,6-187,LAR,NFL,16,16,1,0,0,10
117,Danny Trevathan\TrevDa00,2018,28,6-188,CHI,NFL,16,16,1,0,0,10
118,Kyle Van Noy\VanNKy00,2018,27,Feb-40,NWE,NFL,16,16,1,0,0,10
119,Larry Warford\WarfLa00,2018,27,Mar-65,NOR,NFL,15,15,1,1,0,10
120,James White\WhitJa02,2018,26,4-130,NWE,NFL,16,3,1,0,0,10
121,Tyrell Williams\WillTy00,2018,26,,LAC,NFL,16,10,1,0,0,10
122,Jamal Adams\AdamJa00,2018,23,6-Jan,NYJ,NFL,16,16,1,1,0,9
123,Anthony Barr\BarrAn00,2018,26,9-Jan,MIN,NFL,13,13,1,1,0,9
124,Odell Beckham\BeckOd00,2018,26,12-Jan,NYG,NFL,12,12,1,0,0,9
125,Clint Boling\BoliCl00,2018,29,4-101,CIN,NFL,16,16,1,0,0,9
126,Tyler Boyd\BoydTy00,2018,24,Feb-55,CIN,NFL,14,14,1,0,0,9
127,Brandon Brooks\BrooBr00,2018,29,Mar-76,PHI,NFL,16,16,1,1,0,9
128,De'Vondre Campbell\CampDe00,2018,25,4-115,ATL,NFL,16,13,1,0,0,9
129,Jamie Collins\CollJa00,2018,29,Feb-52,CLE,NFL,16,16,1,0,0,9
130,Zach Cunningham\CunnZa00,2018,24,Feb-57,HOU,NFL,14,14,1,0,0,9
131,Jarrad Davis\DaviJa01,2018,23,21-Jan,DET,NFL,16,16,1,0,0,9
132,Todd Davis\DaviTo01,2018,26,,DEN,NFL,16,16,1,0,0,9
133,Demar Dotson\DotsDe00,2018,33,,TAM,NFL,15,15,1,0,0,9
134,Julian Edelman\EdelJu00,2018,32,7-232,NWE,NFL,12,12,1,0,0,9
135,Tremaine Edmunds\EdmuTr01,2018,20,16-Jan,BUF,NFL,15,15,1,0,0,9
136,Zach Ertz\ErtzZa00,2018,28,Feb-35,PHI,NFL,16,16,1,1,0,9
137,Trey Flowers\FlowTr00,2018,25,4-101,NWE,NFL,15,15,1,0,0,9
138,Leonard Floyd\FloyLe00,2018,26,9-Jan,CHI,NFL,16,16,1,0,0,9
139,Mason Foster\FostMa00,2018,29,Mar-84,WAS,NFL,16,16,1,0,0,9
140,Eddie Goldman\GoldEd00,2018,24,Feb-39,CHI,NFL,16,16,1,0,0,9
141,Chris Harris\HarrCh01,2018,29,,DEN,NFL,12,12,1,1,0,9
142,Damon Harrison\HarrDa03,2018,30,,2TM,NFL,17,16,1,0,0,9
143,Bobby Hart\HartBo00,2018,24,7-226,CIN,NFL,16,16,1,0,0,9
144,Xavien Howard\HowaXa00,2018,25,Feb-38,MIA,NFL,12,12,1,1,0,9
145,Jerry Hughes\HughJe99,2018,30,31-Jan,BUF,NFL,16,16,1,0,0,9
146,Linval Joseph\JoseLi99,2018,30,Feb-46,MIN,NFL,15,15,1,0,0,9
147,Case Keenum\KeenCa00,2018,30,,DEN,NFL,16,16,1,0,0,9
148,Marcus Mariota\MariMa01,2018,25,2-Jan,TEN,NFL,14,13,1,0,0,9
149,Blake Martinez\MartBl01,2018,24,4-131,GNB,NFL,16,16,1,0,0,9
150,Bobby Massie\MassBo00,2018,29,4-112,CHI,NFL,16,16,1,0,0,9
151,Matt Milano\MilaMa00,2018,24,5-163,BUF,NFL,13,13,1,0,0,9
152,Yannick Ngakoue\NgakYa00,2018,23,Mar-69,JAX,NFL,16,16,1,0,0,9
