Player,Position,Team,DYAR,YAR,DVOA,VOA,Passes,Yards,EYds,TD,Catch Rate,FUM
Z.Zenner,RB,DET,-11,-7,-32.20%,-25.20%,10,56,20,0,70%,0
M.Lynch,RB,OAK,-17,-14,-28.50%,-26.00%,20,84,47,0,75%,0
K.Ballage,RB,MIA,-17,-12,-39.60%,-32.10%,11,56,12,0,82%,0
C.Edmonds,RB,ARI,-19,-23,-27.70%,-31.00%,23,103,58,0,87%,0
J.Adams,RB,PHI,-19,-19,-37.90%,-37.40%,13,58,17,0,54%,0
R.Freeman,RB,DEN,-20,-17,-32.20%,-29.30%,20,72,37,0,70%,0
K.Bibbs,RB,2TM,-26,-32,-34.80%,-39.50%,23,115,35,1,70%,1
J.Develin,RB,NE,-32,-30,-44.50%,-42.20%,17,61,9,0,71%,0
J.Wilkins,RB,IND,-34,-36,-47.80%,-50.30%,17,85,1,0,94%,2
L.Blount,RB,DET,-38,-43,-52.50%,-57.20%,15,67,-8,0,67%,1
W.Gallman,RB,NYG,-47,-43,-63.80%,-59.00%,22,89,-30,0,64%,2
C.Hyde,RB,2TM,-51,-60,-73.30%,-83.40%,16,33,-44,0,63%,0
M.Murphy,RB,BUF,-76,-74,-82.60%,-80.70%,19,26,-78,0,58%,0
