Player,Position,Team,DYAR,YAR,DOVA,VOA,Passes,Yards,EYds,TD,Catch Rate,Fum
Rod Smith\SmitRo06,RB,DAL,50,56,26.90%,31.60%,23,202,190,1,83%,0
Kapri Bibbs\BibbKa00,RB,WAS,36,35,32.70%,30.30%,17,128,131,1,82%,0
Derrick Henry\HenrDe00,RB,TEN,31,32,23.60%,24.40%,17,136,123,1,65%,0
Wendell Smallwood\SmalWe00,RB,PHI,30,19,14.20%,4.00%,18,103,139,0,72%,0
Thomas Rawls\RawlTh00,RB,SEA,28,27,26.80%,24.90%,13,94,107,0,69%,0
Mike Davis\DaviMi01,RB,SEA,26,33,15.20%,24.00%,18,131,116,0,83%,0
Jacquizz Rodgers\RodgJa00,RB,TB,24,23,30.50%,28.30%,11,74,89,0,82%,0
Kerwynn Williams\WillKe05,RB,ARI,21,18,11.60%,7.90%,15,93,103,0,67%,0
Darren Sproles\SproDa00,RB,PHI,16,6,12.70%,-4.40%,12,73,74,0,58%,0
Travaris Cadet\CadeTr00,RB,2TM,15,9,0.90%,-4.90%,19,119,101,0,84%,0
C.J. Prosise\ProsC.00,RB,SEA,6,11,-4.20%,5.40%,11,87,55,0,55%,0
Peyton Barber\BarbPe01,RB,TB,3,10,-11.10%,-4.30%,19,114,85,0,84%,0
Latavius Murray\MurrLa00,RB,MIN,2,10,-11.60%,-3.30%,17,103,73,0,88%,0
Tommy Bohanon\BohaTo00,RB,JAC,0,-2,-13.20%,-17.20%,11,43,53,1,55%,0
Robert Turbin\TurbRo00,RB,IND,-1,6,-16.90%,0.70%,11,56,28,0,82%,0
James Develin*\DeveJa00,RB,NE,-2,-2,-16.90%,-16.70%,10,38,40,0,60%,0
Dalvin Cook\CookDa01,RB,MIN,-5,-7,-19.00%,-20.60%,16,90,62,0,69%,0
Aaron Ripkowski\RipkAa00,RB,GB,-6,-10,-23.60%,-29.10%,10,39,33,0,70%,0
Malcolm Brown\BrowMa03,RB,LARM,-7,-7,-24.60%,-25.70%,11,53,31,0,82%,0
Paul Perkins\PerkPa00,RB,NYG,-7,-10,-26.50%,-32.00%,10,46,24,0,80%,0
Tyler Ervin\ErviTy00,RB,HOU,-10,-5,-32.00%,-23.30%,11,38,19,0,73%,0
Doug Martin\MartDo00,RB,TB,-18,-13,-30.40%,-25.30%,18,84,41,0,50%,0
Jonathan Stewart\StewJo00,RB,CAR,-20,-14,-38.80%,-31.50%,15,52,16,1,53%,0
Adrian Peterson\PeteAd01,RB,2TM,-23,-31,-35.70%,-43.20%,19,70,28,0,58%,0
Mike Tolbert\TolbMi00,RB,BUF,-24,-20,-44.20%,-38.70%,17,78,7,0,82%,0
Patrick DiMarco\DiMaPa00,RB,BUF,-25,-28,-49.00%,-54.00%,10,28,-1,0,70%,0
Branden Oliver\OlivBr01,RB,LACH,-29,-40,-56.30%,-71.40%,11,26,-11,0,55%,0
Aaron Jones\JoneAa00,RB,GB,-60,-64,-75.40%,-79.70%,18,22,-54,0,50%,0
Antonio Brown*+\BrowAn04,WR,PIT,430,389,20.10%,17.00%,163,"1,533","1,703",9,62%,3
Marvin Jones\JoneMa02,WR,DET,395,385,33.80%,32.60%,107,"1,101","1,276",9,57%,0
Keenan Allen*\AlleKe00,WR,LACH,378,378,16.50%,16.50%,159,"1,395","1,614",6,64%,1
DeAndre Hopkins*+\HopkDe00,WR,HOU,367,340,13.30%,11.40%,174,"1,378","1,694",13,55%,1
Michael Thomas*\ThomMi05,WR,NO,330,335,15.00%,15.40%,149,"1,245","1,460",5,70%,0
JuJu Smith-Schuster\SmitJu00,WR,PIT,317,321,37.30%,38.00%,79,917,983,7,73%,0
Julio Jones*\JoneJu02,WR,ATL,313,326,13.70%,14.80%,148,"1,444","1,427",3,59%,0
Tyreek Hill*\HillTy00,WR,KC,304,303,23.60%,23.40%,106,"1,192","1,132",7,72%,0
Stefon Diggs\DiggSt00,WR,MIN,295,308,24.70%,26.30%,95,849,"1,077",8,67%,0
Cooper Kupp\KuppCo00,WR,LARM,272,266,24.80%,23.90%,92,869,993,5,65%,1
Adam Thielen*\ThieAd00,WR,MIN,261,269,10.10%,10.80%,142,"1,276","1,320",4,64%,3
Ted Ginn\GinnTe00,WR,NO,259,266,34.80%,36.20%,70,787,826,4,76%,0
Brandin Cooks\CookBr00,WR,NE,258,266,14.90%,15.70%,114,"1,082","1,143",7,57%,0
Sammy Watkins\WatkSa00,WR,LARM,216,206,24.10%,22.50%,70,593,797,8,56%,0
Davante Adams*\AdamDa01,WR,GB,215,205,10.30%,9.20%,117,885,"1,078",10,63%,0
Golden Tate\TateGo00,WR,DET,204,205,9.70%,9.80%,120,"1,003","1,040",5,77%,1
Doug Baldwin*\BaldDo00,WR,SEA,200,218,9.60%,11.70%,118,983,"1,024",8,65%,0
Mohamed Sanu\SanuMo00,WR,ATL,179,180,10.70%,10.90%,96,703,888,5,70%,0
Rishard Matthews\MattRi00,WR,TEN,173,183,13.60%,15.10%,87,795,788,4,61%,0
Robert Woods\WoodRo02,WR,LARM,172,178,13.40%,14.30%,85,781,776,5,66%,1
Devin Funchess\FuncDe00,WR,CAR,168,157,6.80%,5.50%,112,840,951,8,56%,0
Albert Wilson\WilsAl02,WR,KC,167,157,21.40%,19.30%,62,554,647,3,68%,0
Paul Richardson\RichPa01,WR,SEA,161,183,13.40%,16.90%,80,703,741,6,55%,0
Marquise Goodwin\GoodMa00,WR,SF,155,149,5.90%,5.20%,105,962,907,2,53%,0
Tyrell Williams\WillTy00,WR,LACH,150,142,15.40%,13.90%,69,728,657,4,62%,1
Allen Hurns\HurnAl01,WR,JAC,149,154,20.60%,21.60%,56,484,586,2,70%,0
Mike Evans\EvanMi00,WR,TB,149,145,1.20%,0.80%,136,"1,004","1,095",5,52%,0
Larry Fitzgerald*\FitzLa00,WR,ARI,147,182,-1.30%,1.40%,161,"1,156","1,270",6,68%,1
Demaryius Thomas\ThomDe03,WR,DEN,146,151,0.20%,0.60%,140,949,"1,142",5,59%,1
Jermaine Kearse\KearJe01,WR,NYJ,146,133,5.20%,3.60%,102,810,882,5,64%,1
Ryan Grant\GranRy01,WR,WAS,146,152,16.70%,18.00%,65,573,619,4,69%,0
Nelson Agholor\AghoNe00,WR,PHI,141,130,6.70%,5.30%,95,768,798,8,65%,0
Chris Godwin\GodwCh00,WR,TB,138,130,20.50%,18.50%,55,525,543,1,62%,0
Danny Amendola\AmenDa00,WR,NE,138,150,8.40%,10.20%,86,659,737,2,71%,1
Will Fuller\FullWi01,WR,HOU,126,134,17.60%,19.50%,50,423,525,7,56%,0
Kelvin Benjamin\BenjKe00,WR,2TM,125,129,8.10%,8.70%,78,692,677,3,62%,0
Sterling Shepard\ShepSt00,WR,NYG,120,122,4.90%,5.20%,84,733,731,2,70%,1
Marqise Lee\LeexMa00,WR,JAC,119,115,3.00%,2.50%,96,702,795,3,58%,1
Martavis Bryant\BryaMa00,WR,PIT,118,107,4.90%,3.20%,84,603,723,3,60%,0
Trent Taylor\TaylTr02,WR,SF,114,92,11.40%,6.80%,60,430,552,2,72%,0
Robby Anderson\AndeRo04,WR,NYJ,113,99,-0.10%,-1.70%,116,949,902,7,56%,0
Adam Humphries\HumpAd00,WR,TB,112,99,5.10%,3.10%,83,631,679,1,73%,1
Alshon Jeffery\JeffAl00,WR,PHI,108,115,-1.20%,-0.50%,120,789,927,9,48%,0
Kenny Stills\StilKe00,WR,MIA,107,91,0.40%,-1.60%,105,854,823,6,55%,4
DeSean Jackson\JackDe00,WR,TB,105,99,1.60%,0.80%,90,668,755,3,56%,0
Jarvis Landry*\LandJa00,WR,MIA,98,75,-4.90%,-6.70%,161,987,"1,163",9,70%,3
Mike Wallace\WallMi00,WR,BAL,96,123,0.40%,4.20%,92,748,737,4,57%,0
