Player,Position,Team,DYAR,YAR,DOVA,VOA,Passes,Yards,EYds,TD,Catch Rate,Fum
Marcedes Lewis\LewiMa00,TE,JAC,27,42,1.00%,5.60%,48,318,333,5,50%,0
Zach Miller\MillZa02,TE,CHI,24,20,4.40%,2.30%,35,236,223,2,57%,0
Jermaine Gresham\GresJe00,TE,ARI,22,15,-0.10%,-2.40%,46,322,311,2,72%,0
Charles Clay\ClayCh00,TE,BUF,22,37,-2.80%,0.20%,74,558,462,2,66%,1
Antonio Gates\GateAn00,TE,LACH,13,5,-3.20%,-5.80%,52,316,302,3,58%,0
Jimmy Graham*\GrahJi00,TE,SEA,9,-4,-6.00%,-7.80%,96,520,598,10,59%,0
Ricky Seals-Jones\SealRi00,TE,ARI,5,13,-4.60%,-0.10%,28,201,167,3,43%,0
Martellus Bennett\BennMa00,TE,2TM,-1,-12,-7.50%,-11.10%,44,286,256,0,68%,0
Ben Watson\WatsBe00,TE,BAL,-1,20,-7.50%,-3.50%,79,522,434,4,77%,1
Jack Doyle*\DoylJa00,TE,IND,-2,31,-7.50%,-2.80%,108,690,573,4,74%,2
Delanie Walker*\WalkHu00,TE,TEN,-3,33,-7.60%,-2.70%,111,807,605,3,67%,2
Evan Engram\EngrEv00,TE,NYG,-5,-20,-8.00%,-9.80%,115,722,637,6,56%,0
Ryan Griffin\GrifRy00,TE,HOU,-6,-9,-11.00%,-13.40%,26,158,118,1,50%,0
Jordan Reed\ReedJo02,TE,WAS,-7,-18,-10.10%,-14.80%,35,211,182,2,77%,1
Tyler Higbee\HigbTy00,TE,LARM,-9,-19,-10.40%,-13.70%,45,295,233,1,56%,0
David Njoku\NjokDa00,TE,CLE,-10,-2,-9.70%,-7.70%,60,386,326,4,53%,0
Dion Sims\SimsDi00,TE,CHI,-12,-10,-14.30%,-13.00%,29,180,122,1,52%,0
Brent Celek\CeleBr00,TE,PHI,-14,-9,-15.60%,-13.00%,24,130,108,1,54%,0
Seth Devalve\DevaSe00,TE,CLE,-15,-5,-11.50%,-8.70%,58,395,266,1,57%,1
Gerald Everett\EverGe00,TE,LARM,-20,-36,-17.00%,-24.80%,32,244,128,2,50%,1
Stephen Anderson\AndeSt01,TE,HOU,-22,-10,-14.00%,-10.20%,52,342,233,1,48%,0
Jesse James\JameJe00,TE,PIT,-23,2,-12.80%,-6.80%,63,372,303,3,68%,0
Julius Thomas\ThomJu00,TE,MIA,-30,-28,-14.60%,-14.00%,62,388,281,3,66%,1
Nick Boyle\BoylNi00,TE,BAL,-32,-37,-19.30%,-21.00%,37,203,154,0,76%,0
Demetrius Harris\HarrDe03,TE,KC,-37,-30,-23.30%,-20.20%,35,224,113,1,51%,0
Lance Kendricks\KendLa00,TE,GB,-40,-42,-22.70%,-23.80%,35,203,129,1,51%,0
Jonnu Smith\SmitJo01,TE,TEN,-44,-37,-30.70%,-27.10%,30,157,62,2,60%,0
Greg Olsen\OlseGr00,TE,CAR,-44,-39,-24.50%,-22.30%,38,191,120,1,45%,0
A.J. Derby\DerbA.00,TE,2TM,-53,-49,-27.30%,-25.90%,40,244,106,2,53%,1
Austin Seferian-Jenkins\SefeAu00,TE,NYJ,-83,-83,-23.40%,-23.40%,74,357,252,3,68%,1
Adam Shaheen\ShahAd00,TE,CHI,40,52,26.00%,36.10%,14,127,188,3,86%,0
Levine Toilolo\ToilLe00,TE,ATL,38,37,29.60%,29.40%,14,122,168,1,86%,0
Eric Tomlinson\TomlEr01,TE,NYJ,38,27,44.10%,29.80%,11,121,143,1,73%,0
Nick Vannett\VannNi00,TE,SEA,36,30,31.00%,24.80%,15,124,157,1,80%,0
Richard Rodgers\RodgRi00,TE,GB,28,30,18.80%,20.10%,19,160,154,1,63%,0
David Morgan\MorgDa01,TE,MIN,24,21,20.30%,17.00%,12,95,123,1,83%,0
Jeff Heuerman\HeueJe00,TE,DEN,20,16,11.60%,7.70%,18,142,131,2,50%,0
Luke Willson\WillLu00,TE,SEA,18,19,4.70%,5.20%,22,153,170,4,68%,0
Jerell Adams\AdamJe01,TE,NYG,18,17,17.00%,15.30%,11,92,102,0,73%,0
Austin Traylor\TrayAu00,TE,DEN,17,14,9.60%,7.40%,13,100,119,0,62%,0
Virgil Green\GreeVi00,TE,DEN,12,20,0.80%,5.70%,22,191,157,1,64%,0
Daniel Brown\BrowDa04,TE,CHI,11,14,2.10%,4.00%,20,129,126,0,65%,0
Lee Smith\SmitLe00,TE,OAK,9,8,4.60%,2.80%,11,76,85,0,73%,0
Neal Sterling\SterNe00,TE,NYJ,8,6,4.50%,1.40%,11,82,79,0,55%,0
Vance McDonald\McDoVa00,TE,PIT,7,25,-2.40%,8.90%,24,188,145,1,58%,0
C.J. Uzomah\UzomC.00,TE,CIN,7,7,-1.10%,-0.80%,15,92,104,1,67%,0
James O'Shaughnessy\O'ShJa00,TE,JAC,5,4,-4.10%,-4.90%,24,149,148,1,58%,0
Derek Carrier\CarrDe00,TE,LARM,5,-1,-0.80%,-8.50%,11,71,76,0,73%,0
Brandon Williams\WillBr04,TE,IND,5,6,-2.60%,-1.40%,17,121,96,0,76%,0
C.J. Fiedorowicz\FiedC.00,TE,HOU,-2,2,-8.60%,-6.00%,22,127,116,0,64%,0
Troy Niklas\NiklTr00,TE,ARI,-7,-12,-11.80%,-14.80%,23,132,121,1,48%,0
Clive Walford\WalfCl00,TE,OAK,-11,-17,-22.20%,-29.70%,13,80,38,0,69%,0
Michael Hoomanawanui\HoomMi00,TE,NO,-13,-13,-23.80%,-23.90%,10,52,38,1,60%,0
Niles Paul\PaulNi00,TE,WAS,-16,-17,-20.10%,-20.70%,19,94,71,0,68%,0
Anthony Fasano\FasaAn00,TE,MIA,-21,-19,-27.60%,-24.90%,16,110,42,1,75%,1
Jacob Hollister\HollJa03,TE,NE,-40,-35,-58.00%,-51.90%,11,42,-21,0,36%,0
Maxx Williams\WillMa04,TE,BAL,-43,-35,-43.30%,-36.10%,18,86,7,1,83%,1
Darrell Daniels\DaniDa02,TE,IND,-55,-63,-65.30%,-73.40%,13,26,-40,0,23%,0
Josh Hill\HillJo02,TE,NO,-56,-65,-45.10%,-51.20%,23,117,3,1,74%,2
Dwayne Allen\AlleDw00,TE,NE,-57,-57,-42.60%,-42.50%,22,86,11,1,45%,0
Ross Travis\TravRo00,TE,2TM,-57,-52,-59.50%,-55.10%,17,76,-32,0,41%,1
