Player,Team,DYAR,YAR,DVOA,VOA,Runs,Yards,EYds,TD,FUM
Ezekiel Elliott*\ElliEz00,DAL,320,267,0.162,0.121,301,1358,1630,12,3
Christian McCaffrey*+\McCaCh01,CAR,273,187,0.145,0.072,287,1387,1461,15,1
Mark Ingram*\IngrMa01,BAL,250,247,0.191,0.187,202,1018,1183,10,2
Aaron Jones\JoneAa00,GB,209,223,0.122,0.135,236,1091,1205,16,2
Kenyan Drake\DrakKe00,2TM,196,174,0.189,0.157,170,817,933,8,2
Derrick Henry*\HenrDe00,TEN,190,247,0.065,0.111,303,1542,1388,16,5
Raheem Mostert\MostRa00,SF,189,186,0.264,0.259,137,772,770,8,1
Dalvin Cook*\CookDa01,MIN,184,188,0.094,0.097,250,1135,1179,13,3
Nick Chubb*\ChubNi00,CLE,155,95,0.04,-0.009,298,1493,1314,8,2
Chris Carson\CarsCh00,SEA,130,94,0.019,-0.01,278,1236,1278,7,6
Josh Jacobs\JacoJo01,OAK,122,168,0.032,0.076,242,1152,1091,7,1
Latavius Murray\MurrLa00,NO,121,116,0.101,0.094,146,637,754,5,0
Gus Edwards\EdwaGu00,BAL,121,123,0.11,0.113,133,710,728,2,2
Jordan Howard\HowaJo00,PHI,111,103,0.139,0.123,119,525,605,6,0
Marlon Mack\MackMa00,IND,99,152,0.007,0.056,247,1091,1083,8,0
Phillip Lindsay\LindPh00,DEN,95,130,0.019,0.059,224,1011,929,7,0
Joe Mixon\MixoJo00,CIN,86,70,-0.013,-0.026,278,1138,1150,5,0
Saquon Barkley\BarkSa00,NYG,82,26,0.003,-0.057,217,1003,930,6,0
Alvin Kamara*\KamaAl00,NO,77,54,0.025,-0.008,171,802,722,5,3
Devin Singletary\SingDe00,BUF,76,63,0.038,0.018,151,775,648,2,4
Carlos Hyde\HydeCa00,HOU,53,87,-0.034,-0.001,245,1086,966,6,4
Todd Gurley\GurlTo01,LAR,50,53,-0.033,-0.029,223,858,895,12,3
Ronald Jones\JoneRo01,TB,40,23,-0.027,-0.052,172,724,656,6,2
Adrian Peterson\PeteAd01,WAS,39,54,-0.04,-0.023,211,900,799,5,2
Jamaal Williams\WillJa06,GB,32,56,-0.013,0.041,107,460,431,1,0
Matt Breida\BreiMa00,SF,28,12,-0.028,-0.06,123,623,454,1,2
Alexander Mattison\MattAl01,MIN,26,8,-0.017,-0.064,100,462,363,1,1
LeSean McCoy\McCoLe01,KC,23,40,-0.035,0.004,101,465,418,4,2
Sony Michel\MichSo00,NE,20,0,-0.067,-0.086,247,914,948,7,2
Miles Sanders\SandMi01,PHI,13,7,-0.068,-0.076,179,818,660,3,2
Damien Williams\WillDa05,KC,8,21,-0.068,-0.04,111,500,412,5,1
Melvin Gordon\GordMe00,LAC,7,36,-0.076,-0.037,162,615,637,8,3
DeAndre Washington\WashDe00,OAK,7,21,-0.072,-0.042,108,387,421,3,0
Leonard Fournette\FourLe00,JAX,-5,-10,-0.09,-0.095,265,1152,973,3,0
Austin Ekeler\EkelAu00,LAC,-9,22,-0.101,-0.047,132,559,484,3,1
Royce Freeman\FreeRo00,DEN,-13,19,-0.11,-0.05,132,500,431,3,0
James Conner\ConnJa00,PIT,-15,18,-0.117,-0.049,115,464,386,4,1
Benny Snell\SnelBe00,PIT,-16,5,-0.121,-0.076,108,426,361,2,1
Devonta Freeman\FreeDe00,ATL,-24,-47,-0.118,-0.149,184,661,602,2,2
Kerryon Johnson\JohnKe06,DET,-26,-11,-0.139,-0.108,113,403,384,3,1
Tevin Coleman\ColeTe01,SF,-41,-5,-0.159,-0.095,137,544,419,6,0
David Montgomery\MontDa01,CHI,-44,-43,-0.128,-0.128,242,889,825,6,2
Frank Gore\GoreFr00,BUF,-52,-94,-0.155,-0.211,166,599,558,3,0
Le'Veon Bell\BellLe00,NYJ,-76,-57,-0.166,-0.146,246,790,696,3,0
Peyton Barber\BarbPe01,TB,-140,-84,-0.297,-0.213,154,470,341,7,1
Rashaad Penny\PennRa00,SEA,115,77,0.324,0.188,65,370,428,3,1
Boston Scott\ScotBo02,PHI,87,72,0.228,0.174,61,245,378,5,1
Chase Edmonds\EdmoCh00,ARI,84,73,0.315,0.263,60,303,315,4,0
Rex Burkhead\BurkRe00,NE,82,74,0.213,0.183,65,302,368,3,0
Tony Pollard\PollTo00,DAL,71,63,0.116,0.092,86,455,419,2,1
Jordan Wilkins\WilkJo01,IND,63,77,0.206,0.268,51,307,288,2,0
Justin Jackson\JackJu01,LAC,51,55,0.353,0.389,29,200,182,0,0
Derrius Guice\GuicDe00,WAS,42,50,0.158,0.201,42,245,219,2,0
Jeff Wilson\WilsJe01,SF,39,32,0.203,0.154,27,105,177,4,0
Nyheim Hines\HineNy00,IND,38,43,0.083,0.105,52,199,256,2,0
Mike Boone\BoonMi00,MIN,34,50,0.085,0.165,49,273,227,4,0
Mark Walton\WaltMa00,MIA,31,5,0.058,-0.064,53,201,235,0,0
Ty Johnson\JohnTy02,DET,28,18,0.034,-0.009,63,273,247,0,0
Ito Smith\SmitIt00,ATL,27,21,0.138,0.086,22,106,147,1,0
Malcolm Brown\BrowMa03,LAR,23,29,-0.008,0.012,69,255,289,5,0
J.D. McKissic\McKiJ.00,DET,23,25,0.06,0.076,38,205,170,0,0
Jonathan Williams\WillJo07,IND,22,45,0.022,0.135,49,235,208,1,0
Duke Johnson\JohnDu00,HOU,21,39,-0.021,0.035,83,410,311,2,1
Kerrith Whyte\WhytKe00,PIT,20,18,0.163,0.14,25,122,101,0,0
Darwin Thompson\ThomDa06,KC,15,14,0.01,0.006,38,128,158,1,0
Kareem Hunt\HuntKa00,CLE,13,7,-0.006,-0.044,44,165,167,2,1
Bo Scarbrough\ScarBo01,DET,11,15,-0.054,-0.045,89,378,331,1,1
Justice Hill\HillJu00,BAL,11,0,-0.035,-0.083,58,225,200,2,0
Brian Hill\HillBr02,ATL,11,25,-0.051,-0.006,78,323,282,2,0
Jalen Richard\RichJa01,OAK,8,11,-0.04,-0.018,39,145,156,0,0
Ameer Abdullah\AbduAm00,MIN,6,7,-0.002,0.013,23,115,67,0,0
Chris Thompson\ThomCh03,WAS,3,-5,-0.068,-0.122,37,138,131,0,0
James White\WhitJa02,NE,-2,-1,-0.093,-0.089,67,263,243,1,0
Qadree Ollison\OlliQa00,ATL,-3,1,-0.112,-0.078,22,50,96,4,1
Myles Gaskin\GaskMy00,MIA,-3,-1,-0.107,-0.094,36,133,128,1,0
Wendell Smallwood\SmalWe00,WAS,-4,-6,-0.13,-0.158,22,81,66,0,0
Darrell Henderson\HendDa00,LAR,-4,-6,-0.114,-0.124,39,147,126,0,0
Wayne Gallman\GallWa00,NYG,-9,-13,-0.154,-0.184,29,111,96,2,1
David Johnson\JohnDa08,ARI,-10,5,-0.112,-0.073,94,345,325,2,0
Darrel Williams\WillDa10,KC,-14,-13,-0.152,-0.147,41,141,162,3,1
Bilal Powell\PoweBi00,NYJ,-22,-1,-0.186,-0.092,59,229,155,0,0
Tarik Cohen\CoheTa00,CHI,-22,-23,-0.17,-0.171,64,215,193,0,0
Ryquell Armstead\ArmsRy00,JAX,-24,-28,-0.264,-0.3,35,108,75,0,0
