,Player,Team,Salary Cap Value,Cash Spent
85,Ito Smith\SmitIt00,Falcons,"$621,453 ","$1,087,107 "
86,Marcus Murphy\MurpMa03,Bills,"$602,118 ","$602,118 "
87,Taiwan Jones,Bills,"$594,529 ","$704,235 "
88,Chase Edmonds\EdmoCh00,Cardinals,"$593,089 ","$932,356 "
89,Chris Carson\CarsCh00,Seahawks,"$571,285 ","$555,000 "
90,Justin Davis\DaviJu00,Rams,"$560,000 ","$555,000 "
91,Austin Ekeler\EkelAu00,Chargers,"$556,666 ","$555,000 "
92,C.J. Ham\HamxC.00,Vikings,"$555,000 ","$555,000 "
93,Matt Breida\BreiMa00,49ers,"$546,254 ","$544,588 "
94,Jordan Wilkins\WilkJo01,Colts,"$540,310 ","$721,240 "
95,T.J. Logan\LogaT.00,Cardinals,"$530,487 ","$480,000 "
96,Corey Clement\ClemCo00,Eagles,"$527,098 ","$523,765 "
97,John Kelly\KellJo00,Rams,"$527,073 ","$668,292 "
98,Brian Hill\HillBr02,Falcons,"$522,353 ","$522,353 "
99,Aaron Jones\JoneAa00,Packers,"$519,369 ","$468,882 "
100,Dwayne Washington\WashDw00,Saints,"$518,824 ","$518,824 "
101,Trenton Cannon\CannTr00,Jets,"$514,807 ","$619,228 "
102,Elijah McGuire\McGuEl00,Jets,"$513,835 ","$471,706 "
103,Byron Marshall\MarsBy01,Redskins,"$490,588 ","$490,588 "
104,Elijhaa Penny\PennEl00,Giants,"$489,706 ","$489,706 "
105,Darrel Williams\WillDa10,Chiefs,"$485,000 ","$495,000 "
106,Mike Boone\BoonMi00,Vikings,"$482,500 ","$487,500 "
107,Buddy Howell,Texans,"$480,000 ","$480,000 "
108,Phillip Lindsay\LindPh00,Broncos,"$478,118 ","$488,118 "
109,Paul Perkins,Giants,"$461,137 ","$398,000 "
110,Shaun Wilson\WilsSh01,Buccaneers,"$435,156 ","$441,823 "
111,Josh Adams\AdamJo03,Eagles,"$423,529 ","$423,529 "
